family,n,p,phi,structure
conjunctive,4,0.49,0.00652043,triadic
conjunctive,4,0.50,0.00000000,dyadic
parity,4,0.00,0.25000000,triadic
parity,4,0.01,0.24391136,triadic
parity,4,0.02,0.23785915,triadic
parity,4,0.03,0.23184374,triadic
parity,4,0.04,0.22586551,triadic
parity,4,0.05,0.21992486,triadic
parity,4,0.06,0.21402218,triadic
parity,4,0.07,0.20815786,triadic
parity,4,0.08,0.20233233,triadic
parity,4,0.09,0.19654600,triadic
parity,4,0.10,0.19079930,triadic
parity,4,0.11,0.18509269,triadic
parity,4,0.12,0.17942659,triadic
parity,4,0.13,0.17380149,triadic
parity,4,0.14,0.16821784,triadic
parity,4,0.15,0.16267613,triadic
parity,4,0.16,0.15717686,triadic
parity,4,0.17,0.15172052,triadic
parity,4,0.18,0.14630764,triadic
parity,4,0.19,0.14093875,triadic
parity,4,0.20,0.13561438,triadic
parity,4,0.21,0.13033510,triadic
parity,4,0.22,0.12510148,triadic
parity,4,0.23,0.11991409,triadic
parity,4,0.24,0.11477355,triadic
parity,4,0.25,0.10968047,triadic
parity,4,0.26,0.10463548,triadic
parity,4,0.27,0.09963923,triadic
parity,4,0.28,0.09469239,triadic
parity,4,0.29,0.08979564,triadic
parity,4,0.30,0.08494969,triadic
parity,4,0.31,0.08015528,triadic
parity,4,0.32,0.07541313,triadic
parity,4,0.33,0.07072403,triadic
parity,4,0.34,0.06608876,triadic
parity,4,0.35,0.06150814,triadic
parity,4,0.36,0.05698301,triadic
parity,4,0.37,0.05251424,triadic
parity,4,0.38,0.04810272,triadic
parity,4,0.39,0.04374938,triadic
parity,4,0.40,0.03945516,triadic
parity,4,0.41,0.03522106,triadic
parity,4,0.42,0.03104810,triadic
parity,4,0.43,0.02693732,triadic
parity,4,0.44,0.02288982,triadic
parity,4,0.45,0.01890673,triadic
parity,4,0.46,0.01498923,triadic
parity,4,0.47,0.01113852,triadic
parity,4,0.48,0.00735586,triadic
parity,4,0.49,0.00364257,triadic
parity,4,0.50,0.00000000,dyadic
