mask,mask_int,stratum,wt,all_dep,monotone,affine,extremal_wt,pred,obs,match,structure,whole_phi,core,core_phi,n_core,elapsed_s
89b4,35252,random,7,1,0,0,0,C,C,1,dyadic,0.000000,W1|S|W2,0.271229,3,1.87
3edc,16092,random,10,1,0,0,0,C,C,1,dyadic,0.000000,S|W2|W3,0.500000,3,1.16
4048,16456,random,3,1,0,0,0,C,C,1,dyadic,0.000000,S|C,0.276692,2,0.56
2ce2,11490,random,7,1,0,0,0,C,C,1,dyadic,0.000000,W1|S|W2,0.296426,3,1.43
704a,28746,random,6,1,0,0,0,C,C,1,dyadic,0.000000,S|W3|C,0.183776,3,0.65
4578,17784,random,7,1,0,0,0,C,C,1,dyadic,0.000000,S|C,0.276692,2,1.52
8b25,35621,random,7,1,0,0,0,C,C,1,dyadic,0.000000,S|W2,0.276692,2,1.26
a43f,42047,random,9,1,0,0,0,C,C,1,dyadic,0.000000,S|W2|C,0.296426,3,1.35
74c8,29896,random,7,1,0,0,0,C,C,1,dyadic,0.000000,W1|S|C,0.296426,3,1.1
cd33,52531,random,9,1,0,0,0,C,C,1,dyadic,0.000000,W1|S|W3,0.596031,3,0.89
6a2a,27178,random,7,1,0,0,0,C,C,1,dyadic,0.000000,S|C,0.666521,2,0.67
a3d4,41940,random,8,1,0,0,0,C,C,1,dyadic,0.000000,W1|S|W2|W3,0.250000,4,1.97
6b75,27509,random,10,1,0,0,0,C,C,1,dyadic,0.000000,S|W3|C,0.500000,3,0.98
8899,34969,random,6,0,0,0,0,C,C,1,dyadic,0.000000,S|W3|C,0.757821,3,0.45
d1cf,53711,random,10,1,0,0,0,C,C,1,dyadic,0.000000,S|W3,0.201205,2,0.65
686c,26732,random,7,1,0,0,0,C,C,1,dyadic,0.000000,S|W3,0.367552,2,0.85
ec6a,60522,random,9,1,0,0,0,C,C,1,dyadic,0.000000,S|C,0.276692,2,0.78
2151,8529,random,5,1,0,0,0,C,C,1,dyadic,0.000000,S|C,0.542458,2,0.65
c061,49249,random,5,1,0,0,0,C,C,1,triadic,0.335614,S|W2|W3,0.681511,3,5.81
7cca,31946,random,9,1,0,0,0,C,C,1,dyadic,0.000000,S|W3,0.276692,2,2.33
0c2d,3117,random,6,1,0,0,0,C,C,1,dyadic,0.000000,S|W2,0.614138,2,1.77
cf15,53013,random,9,1,0,0,0,C,C,1,dyadic,0.000000,W1|S,0.276692,2,0.87
cb05,51973,random,7,1,0,0,0,C,C,1,dyadic,0.000000,S|W2,0.276692,2,0.86
2f3b,12091,random,10,1,0,0,0,C,C,1,dyadic,0.000000,S|W3,0.438722,2,0.66
d40e,54286,random,7,1,0,0,0,C,C,1,dyadic,0.000000,W1|S|W2,0.271229,3,1.48
7ab4,31412,random,9,1,0,0,0,C,C,1,dyadic,0.000000,S|W2,0.367552,2,1.58
f392,62354,random,9,1,0,0,0,C,C,1,dyadic,0.000000,S|W2,0.276692,2,1.83
998c,39308,random,7,1,0,0,0,C,C,1,dyadic,0.000000,S|W3|C,0.596031,3,1.05
4d7f,19839,random,11,1,0,0,0,C,C,1,dyadic,0.000000,S|C,0.367552,2,0.68
aef5,44789,random,11,1,0,0,0,C,C,1,dyadic,0.000000,W1|S|C,0.681511,3,1.05
8848,34888,random,4,1,0,0,0,C,C,1,dyadic,0.000000,S|W3,2.000000,2,0.94
e65d,58973,random,10,1,0,0,0,C,C,1,dyadic,0.000000,W1|S|C,0.500000,3,1.43
b76d,46957,random,11,1,0,0,0,C,C,1,dyadic,0.000000,S|W2|C,0.368922,3,1.86
7b67,31591,random,11,1,0,0,0,C,C,1,dyadic,0.000000,S|W3|C,0.681511,3,0.92
3135,12597,random,7,1,0,0,0,C,C,1,dyadic,0.000000,S|W3,0.495779,2,0.6
0824,2084,random,3,1,0,0,0,C,C,1,dyadic,0.000000,S|W2,0.276692,2,0.58
dd07,56583,random,9,1,0,0,0,C,C,1,dyadic,0.000000,W1|S,0.276692,2,0.83
13d3,5075,random,8,1,0,0,0,C,C,1,dyadic,0.000000,S|W3,0.339799,2,0.62
f38b,62347,random,10,1,0,0,0,C,C,1,dyadic,0.000000,S|W3,0.201205,2,0.64
0cc1,3265,random,5,1,0,0,0,C,C,1,triadic,0.335614,S|W3,0.542458,2,5.36
5e30,24112,random,7,1,0,0,0,C,C,1,dyadic,0.000000,S|W2|C,0.296426,3,0.7
