id,kind,n,label,max_phi,mean_phi,n_reachable,edges,mediator_depends_both,strict_mediation,back_channel,parity_present,mediator_fn
60,triad,3,"W=FALSE,S=~C,C=copyB",0.0,0.0,2,2,0,0,1,0,(none)
61,triad,3,"W=FALSE,S=~C,C=~A|B",0.0,0.0,3,3,0,0,1,0,(none)
62,triad,3,"W=FALSE,S=~C,C=OR",0.0,0.0,3,3,0,0,1,0,(none)
63,triad,3,"W=FALSE,S=~C,C=TRUE",0.0,0.0,2,1,0,0,0,0,(none)
64,triad,3,"W=FALSE,S=~W&C,C=FALSE",0.0,0.0,2,2,1,0,0,0,~W&C
65,triad,3,"W=FALSE,S=~W&C,C=NOR",0.0,0.0,3,4,1,0,1,0,~W&C
66,triad,3,"W=FALSE,S=~W&C,C=W&~C",0.0,0.0,3,4,1,0,1,0,~W&C
67,triad,3,"W=FALSE,S=~W&C,C=~C",0.0,0.0,3,3,1,0,1,0,~W&C
68,triad,3,"W=FALSE,S=~W&C,C=~W&C",0.0,0.0,4,4,1,0,1,0,~W&C
69,triad,3,"W=FALSE,S=~W&C,C=~W",0.0,0.0,4,3,1,0,0,0,~W&C
70,triad,3,"W=FALSE,S=~W&C,C=XOR",0.0,0.0,4,4,1,0,1,1,~W&C
71,triad,3,"W=FALSE,S=~W&C,C=NAND",0.0,0.0,4,4,1,0,1,0,~W&C
72,triad,3,"W=FALSE,S=~W&C,C=AND",0.0,0.0,4,4,1,0,1,0,~W&C
73,triad,3,"W=FALSE,S=~W&C,C=XNOR",0.0,0.0,4,4,1,0,1,1,~W&C
74,triad,3,"W=FALSE,S=~W&C,C=copyA",0.0,0.0,4,3,1,0,0,0,~W&C
75,triad,3,"W=FALSE,S=~W&C,C=A|~B",0.0,0.0,4,4,1,0,1,0,~W&C
76,triad,3,"W=FALSE,S=~W&C,C=copyB",0.0,0.0,3,3,1,0,1,0,~W&C
77,triad,3,"W=FALSE,S=~W&C,C=~A|B",0.0,0.0,3,4,1,0,1,0,~W&C
78,triad,3,"W=FALSE,S=~W&C,C=OR",0.0,0.0,3,4,1,0,1,0,~W&C
79,triad,3,"W=FALSE,S=~W&C,C=TRUE",0.0,0.0,2,2,1,0,0,0,~W&C
80,triad,3,"W=FALSE,S=~W,C=FALSE",0.0,0.0,2,1,0,0,0,0,(none)
