measure,spearman,pearson,auc_phi_positive
phi_wms,0.46520265757908064,0.4572027824491141,0.7859848484848485
integrated_synergy,0.4140256117565795,0.1428219990761663,0.7477904040404041
total_correlation,-0.35487161527070055,-0.13565895682343335,0.27847923681257014
tdmi,-0.2111726510231993,0.1423408958491406,0.35700757575757575
stochastic_interaction,0.13472436166649476,0.2202489737658054,0.5752665544332211
causal_density,0.03237017002777304,0.1782028876370061,0.5272516835016835
