n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,idx,struct_fragility,dyn_fragility,syn_fragility,n_parity,n_affine,n_both_dep,mean_balance
9.0,4.0,0.0,3.0,0.0,1.0,0.0,10.0,0.0,4.0,0,0,0.65,0.7,1.0,1,2,4,0.3
9.0,5.0,1.0,2.0,0.0,1.0,0.0,20.0,0.0,10.0,1,1,0.5,0.95,1.0,2,3,4,0.2
7.0,3.0,0.0,1.0,0.0,1.0,1.0,12.0,0.0,1.0,0,2,0.55,0.85,1.0,2,4,3,0.3
7.0,3.0,0.0,2.0,0.0,1.0,1.0,10.0,0.0,3.0,0,3,0.7,0.9,1.0,1,3,3,0.4
10.0,5.0,1.0,4.0,0.0,1.0,1.0,16.0,0.0,4.0,0,4,0.6,0.95,1.0,1,1,5,0.4
7.0,3.0,0.0,3.0,0.0,1.0,2.0,9.0,0.0,1.0,0,5,0.85,0.95,1.0,0,2,3,0.5
5.0,3.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,1.0,0,6,0.95,0.45,1.0,0,4,1,0.3
7.0,4.0,0.0,3.0,0.0,1.0,1.0,9.0,0.0,1.0,0,7,0.85,0.9,1.0,0,2,3,0.5
5.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,0,8,0.95,0.5,1.0,0,4,1,0.3
8.0,3.0,0.0,2.0,0.0,1.0,1.0,7.0,0.0,1.0,0,9,0.5,1.0,1.0,2,3,4,0.4
5.0,3.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,6.0,0,10,0.95,1.0,1.0,0,4,1,0.3
5.0,2.0,0.0,1.0,0.0,1.0,2.0,6.0,0.0,2.0,0,11,0.75,0.75,1.0,1,4,2,0.5
6.0,4.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,3.0,0,12,0.95,0.5,1.0,0,4,1,0.1
7.0,3.0,0.0,2.0,0.0,1.0,1.0,10.0,0.0,1.0,0,13,0.7,0.9,1.0,1,3,3,0.4
8.0,4.0,0.0,3.0,0.0,1.0,2.0,9.0,0.0,2.0,0,14,0.85,0.8,1.0,0,2,3,0.3
7.0,4.0,0.0,3.0,0.0,1.0,1.0,12.0,0.0,4.0,0,15,0.85,0.75,1.0,0,2,3,0.5
7.0,3.0,0.0,3.0,0.0,1.0,0.0,9.0,0.0,5.0,0,16,0.85,0.9,1.0,0,2,3,0.5
7.0,4.0,0.0,3.0,0.0,1.0,1.0,9.0,0.0,2.0,0,17,0.85,0.9,1.0,0,2,3,0.5
9.0,5.0,1.0,3.0,0.0,1.0,1.0,15.0,0.0,1.0,1,18,0.65,0.75,1.0,1,2,4,0.3
10.0,4.0,0.0,3.0,0.0,1.0,2.0,12.0,0.0,2.0,0,19,0.45,0.9,1.0,2,2,5,0.3
10.0,4.0,0.0,4.0,0.0,1.0,1.0,9.0,0.0,3.0,0,20,0.6,0.9,1.0,1,1,5,0.4
5.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,0,21,0.95,0.7,1.0,0,4,1,0.3
