n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,idx,struct_fragility,dyn_fragility,syn_fragility,n_parity,n_affine,n_both_dep,mean_balance
7.0,4.0,1.0,2.0,0.0,1.0,1.0,9.0,0.0,1.0,0,46,0.625,1.0,1.0,1,2,3,0.25
8.0,3.0,0.0,3.0,0.0,1.0,0.0,6.0,0.0,3.0,0,47,0.5625,0.8125,1.0,1,1,4,0.375
7.0,4.0,1.0,1.0,0.0,1.0,3.0,12.0,0.0,2.0,1,48,0.4375,1.0,1.0,2,3,3,0.125
7.0,4.0,1.0,3.0,0.0,1.0,2.0,10.0,0.0,1.0,1,49,0.8125,0.875,1.0,0,1,3,0.375
7.0,4.0,1.0,1.0,0.0,1.0,0.0,12.0,0.0,4.0,1,50,0.4375,1.0,1.0,2,3,3,0.125
8.0,4.0,1.0,4.0,1.0,1.0,0.0,8.0,0.0,4.0,1,51,0.75,0.875,1.0,0,0,4,0.5
4.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0,52,0.9375,0.875,1.0,0,3,1,0.375
8.0,3.0,0.0,3.0,0.0,1.0,1.0,7.0,0.0,2.0,0,53,0.5625,0.875,1.0,1,1,4,0.375
7.0,4.0,1.0,2.0,0.0,1.0,0.0,12.0,0.0,7.0,1,54,0.625,0.9375,1.0,1,2,3,0.25
6.0,3.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,4.0,0,55,0.4375,0.75,1.0,2,3,3,0.375
6.0,2.0,0.0,3.0,0.0,1.0,2.0,5.0,0.0,2.0,0,56,0.8125,0.6875,1.0,0,1,3,0.625
3.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,0,57,0.9375,0.6875,1.0,0,3,1,0.625
8.0,4.0,1.0,3.0,0.0,1.0,2.0,8.0,0.0,3.0,1,58,0.5625,0.9375,1.0,1,1,4,0.375
5.0,3.0,0.0,2.0,0.0,1.0,1.0,6.0,0.0,1.0,0,59,0.875,0.75,1.0,0,2,2,0.5
6.0,3.0,0.0,2.0,0.0,1.0,1.0,6.0,0.0,1.0,0,60,0.625,0.8125,1.0,1,2,3,0.5
1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0,61,1.0,0.75,1.0,0,4,0,0.75
7.0,4.0,1.0,2.0,0.0,1.0,1.0,12.0,0.0,4.0,1,62,0.625,0.875,1.0,1,2,3,0.25
8.0,4.0,1.0,3.0,0.0,1.0,0.0,10.0,0.0,6.0,1,63,0.5625,0.875,1.0,1,1,4,0.375
5.0,4.0,1.0,1.0,0.0,1.0,1.0,12.0,0.0,4.0,1,64,0.9375,0.875,1.0,0,3,1,0.125
8.0,4.0,1.0,3.0,0.0,1.0,0.0,9.0,0.0,5.0,1,65,0.5625,1.0,1.0,1,1,4,0.375
7.0,4.0,1.0,3.0,0.0,1.0,1.0,9.0,0.0,4.0,1,66,0.8125,0.9375,1.0,0,1,3,0.375
5.0,2.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,1.0,0,67,0.875,1.0,1.0,0,2,2,0.5
4.0,3.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,1.0,0,68,0.9375,0.6875,1.0,0,3,1,0.375
4.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0,69,0.75,1.0,1.0,1,4,1,0.25
8.0,4.0,1.0,3.0,0.0,1.0,2.0,10.0,0.0,1.0,1,70,0.5625,0.8125,1.0,1,1,4,0.375
7.0,4.0,1.0,3.0,0.0,1.0,1.0,8.0,0.0,2.0,1,71,0.8125,0.8125,1.0,0,1,3,0.375
7.0,3.0,0.0,2.0,0.0,1.0,1.0,7.0,0.0,1.0,0,72,0.625,1.0,1.0,1,2,3,0.25
7.0,4.0,1.0,2.0,0.0,1.0,2.0,10.0,0.0,1.0,1,73,0.625,1.0,1.0,1,2,3,0.25
7.0,4.0,1.0,3.0,0.0,1.0,2.0,10.0,0.0,2.0,0,74,0.8125,0.875,1.0,0,1,3,0.375
3.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0,75,0.75,0.75,1.0,1,4,1,0.5
5.0,2.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,1.0,0,76,0.875,0.875,1.0,0,2,2,0.5
6.0,2.0,0.0,3.0,0.0,1.0,1.0,5.0,0.0,1.0,0,77,0.8125,0.4375,1.0,0,1,3,0.625
5.0,2.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,1.0,0,78,0.875,0.875,1.0,0,2,2,0.5
5.0,2.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,4.0,0,79,0.875,0.8125,1.0,0,2,2,0.5
5.0,3.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,2.0,0,80,0.9375,1.0,1.0,0,3,1,0.125
7.0,3.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,5.0,0,81,0.625,0.5625,1.0,1,2,3,0.25
5.0,2.0,0.0,1.0,0.0,1.0,2.0,6.0,0.0,2.0,0,82,0.6875,0.8125,1.0,1,3,2,0.375
