form_id,construction,has_backchannel,split,n,n_edges,density,max_in_degree,max_out_degree,hub_fanin,hub_fanout,n_reciprocal,n_reciprocal_nonhub,n_nonhub_edges,frac_edges_through_hub,is_strict_star,longest_path,hub_bias,hub_all_required,hub_or_like,total_correlation,stochastic_interaction,lz_complexity,mean_abs_corr,tdmi,phi_wms,causal_density,integrated_synergy,phi_max,n_states,structure,triadic
census_n3_W1_S1_C0,census,0,train,3,3,0.5,2,1,2,1,1,0,0,1.0,1,2,0.25,0,0,4.1305625586574024e-11,1.8112781243765221,0.04220298714153297,0.0,1.8112781244591325,0.0,0.3018796874098555,-4.440892098500626e-16,0.000000,4,dyadic,0
census_n3_W1_S2_C0,census,0,train,3,3,0.5,2,1,2,1,1,0,0,1.0,1,2,0.25,0,0,4.1305625586574024e-11,1.8112781243765221,0.035169155951277474,0.36178718547044014,1.8112781244591327,0.0,0.3018796874098555,-1.1102230246251565e-16,0.000000,4,dyadic,0
census_n3_W1_S3_C0,census,0,train,3,2,0.3333333333333333,1,1,1,1,0,0,0,1.0,1,2,0.5,0,0,1.2391570094068194e-10,0.0,0.035169155951277474,0.6994221294286084,0.0,0.0,0.0,0.0,0.000000,4,dyadic,0
census_n3_W1_S4_C0,census,0,train,3,3,0.5,2,1,2,1,1,0,0,1.0,1,2,0.25,0,0,1.2391740079392203e-10,0.0,0.021101493570766485,0.0,0.0,0.0,0.0,0.0,0.000000,4,dyadic,0
census_n3_W1_S5_C0,census,0,train,3,2,0.3333333333333333,1,1,1,1,1,0,0,1.0,1,1,0.5,1,0,4.1305625586574024e-11,1.999999999917389,0.035169155951277474,0.0,2.0,0.0,0.3333333333333333,0.0,0.000000,4,dyadic,0
census_n3_W1_S6_C0,census,0,train,3,3,0.5,2,1,2,1,1,0,0,1.0,1,2,0.5,0,1,4.1305625586574024e-11,1.999999999917389,0.035169155951277474,0.36178718547044014,2.0,0.0,0.3333333333333333,0.0,0.000000,4,dyadic,0
census_n3_W1_S7_C0,census,0,train,3,3,0.5,2,1,2,1,1,0,0,1.0,1,2,0.75,0,1,1.2391570094068194e-10,0.0,0.04220298714153297,0.4024089364222608,0.0,0.0,0.0,0.0,0.000000,4,dyadic,0
census_n3_W1_S8_C0,census,0,train,3,3,0.5,2,1,2,1,1,0,0,1.0,1,2,0.25,1,0,1.2391740079392203e-10,0.0,0.028135324761021978,0.23707961647044304,0.0,0.0,0.0,0.0,0.000000,4,dyadic,0
census_n3_W1_S9_C0,census,0,train,3,3,0.5,2,1,2,1,1,0,0,1.0,1,2,0.5,0,0,4.1305625586574024e-11,1.999999999917389,0.04220298714153297,0.031117873438695747,2.0,0.0,0.3333333333333333,0.0,0.000000,4,dyadic,0
census_n3_W1_S10_C0,census,0,train,3,2,0.3333333333333333,1,1,1,1,1,0,0,1.0,1,1,0.5,1,0,4.1305625586574024e-11,1.999999999917389,0.035169155951277474,0.3333333333333333,2.0,0.0,0.3333333333333333,0.0,0.000000,4,dyadic,0
census_n3_W1_S11_C0,census,0,train,3,3,0.5,2,1,2,1,1,0,0,1.0,1,2,0.75,0,0,1.2391570094068194e-10,0.0,0.021101493570766485,0.0,0.0,0.0,0.0,0.0,0.000000,4,dyadic,0
census_n3_W1_S12_C0,census,0,train,3,2,0.3333333333333333,1,1,1,1,0,0,0,1.0,1,2,0.5,1,0,1.2391740079392203e-10,0.0,0.028135324761021978,0.0006680026720106872,0.0,0.0,0.0,0.0,0.000000,4,dyadic,0
census_n3_W1_S13_C0,census,0,train,3,3,0.5,2,1,2,1,1,0,0,1.0,1,2,0.75,0,0,4.1305625586574024e-11,1.8112781243765224,0.049236818331788466,0.029844098735723013,1.8112781244591327,0.0,0.3018796874098555,-1.1102230246251565e-16,0.000000,4,dyadic,0
census_n3_W1_S14_C0,census,0,train,3,3,0.5,2,1,2,1,1,0,0,1.0,1,2,0.75,0,1,4.1305625586574024e-11,1.8112781243765224,0.014067662380510989,0.0,1.8112781244591325,0.0,0.3018796874098555,-4.440892098500626e-16,0.000000,4,dyadic,0
census_n3_W1_S15_C0,census,0,train,3,1,0.16666666666666666,1,1,1,0,0,0,0,1.0,1,1,0.5,1,0,1.2391570094068194e-10,0.0,0.028135324761021978,0.23546596734323863,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W1_S0_C1,census,0,train,3,2,0.3333333333333333,1,2,0,2,0,0,0,1.0,1,1,0.0,0,0,1.2391740079392203e-10,0.0,0.021101493570766485,0.0,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W1_S1_C1,census,0,train,3,4,0.6666666666666666,2,2,2,2,2,0,0,1.0,1,2,0.25,0,0,0.8112781244591329,2.8112781243352165,0.049236818331788466,0.3333333333333333,1.8112781244591325,0.0,0.603759374819711,-0.8112781244591329,2.000000,4,triadic,1
census_n3_W1_S2_C1,census,0,train,3,4,0.6666666666666666,2,2,2,2,2,0,0,1.0,1,2,0.25,0,0,1.2391740079392203e-10,0.0,0.028135324761021978,0.0,0.0,0.0,0.0,0.0,0.000000,4,dyadic,0
census_n3_W1_S3_C1,census,0,train,3,3,0.5,1,2,1,2,1,0,0,1.0,1,2,0.5,0,0,1.0,2.999999999876084,0.04220298714153297,0.3333360000320003,2.0,0.0,0.6666666666666666,-1.0,0.000000,4,dyadic,0
census_n3_W1_S4_C1,census,0,train,3,4,0.6666666666666666,2,2,2,2,2,0,0,1.0,1,2,0.25,0,0,1.2391740079392203e-10,0.0,0.028135324761021978,0.8042652680198105,0.0,0.0,0.0,0.0,0.000000,4,dyadic,0
census_n3_W1_S5_C1,census,0,train,3,3,0.5,1,2,1,2,1,0,0,1.0,1,2,0.5,0,0,1.0,2.999999999876084,0.049236818331788466,0.3333360000320003,2.0,0.0,0.6666666666666666,-1.0,0.000000,4,dyadic,0
census_n3_W1_S6_C1,census,0,train,3,4,0.6666666666666666,2,2,2,2,2,0,0,1.0,1,2,0.5,0,1,1.2391740079392203e-10,0.0,0.028135324761021978,0.33466933867735466,0.0,0.0,0.0,0.0,0.500000,4,triadic,1
census_n3_W1_S7_C1,census,0,train,3,4,0.6666666666666666,2,2,2,2,2,0,0,1.0,1,2,0.75,0,1,0.8112781244591329,2.811278124335217,0.049236818331788466,0.3333360000320003,1.8112781244591327,0.0,0.603759374819711,-0.8112781244591328,2.000000,4,triadic,1
census_n3_W1_S8_C1,census,0,train,3,4,0.6666666666666666,2,2,2,2,2,0,0,1.0,1,2,0.25,1,0,0.8112781244591329,2.8112781243352165,0.021101493570766485,1.0,1.8112781244591327,0.0,0.603759374819711,-0.8112781244591328,2.000000,4,triadic,1
census_n3_W1_S9_C1,census,0,train,3,4,0.6666666666666666,2,2,2,2,2,0,0,1.0,1,2,0.5,0,0,1.239148510140619e-10,0.0,0.028135324761021978,0.3333333333333333,0.0,0.0,0.0,0.0,0.500000,4,triadic,1
census_n3_W1_S10_C1,census,0,train,3,3,0.5,1,2,1,2,1,0,0,1.0,1,2,0.5,1,0,1.0,2.999999999876084,0.014067662380510989,0.0,2.0,0.0,0.6666666666666666,-1.0,0.000000,4,dyadic,0
census_n3_W1_S11_C1,census,0,train,3,4,0.6666666666666666,2,2,2,2,2,0,0,1.0,1,2,0.75,0,0,1.239148510140619e-10,0.0,0.028135324761021978,0.3333333333333333,0.0,0.0,0.0,0.0,0.000000,4,dyadic,0
census_n3_W1_S12_C1,census,0,train,3,3,0.5,1,2,1,2,1,0,0,1.0,1,2,0.5,1,0,1.0,2.999999999876084,0.014067662380510989,0.0,2.0,0.0,0.6666666666666666,-1.0,0.000000,4,dyadic,0
census_n3_W1_S13_C1,census,0,train,3,4,0.6666666666666666,2,2,2,2,2,0,0,1.0,1,2,0.75,0,0,1.239148510140619e-10,0.0,0.028135324761021978,0.23707961647044307,0.0,0.0,0.0,0.0,0.000000,4,dyadic,0
census_n3_W1_S14_C1,census,0,train,3,4,0.6666666666666666,2,2,2,2,2,0,0,1.0,1,2,0.75,0,1,0.8112781244591329,2.811278124335217,0.014067662380510989,0.0,1.8112781244591325,0.0,0.603759374819711,-0.8112781244591329,2.000000,4,triadic,1
census_n3_W1_S15_C1,census,0,train,3,2,0.3333333333333333,1,2,0,2,0,0,0,1.0,1,1,0.0,0,0,1.239148510140619e-10,0.0,0.028135324761021978,0.0,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W1_S0_C2,census,0,train,3,2,0.3333333333333333,1,2,0,2,0,0,0,1.0,1,1,0.0,0,0,1.2391655086730198e-10,0.0,0.028135324761021978,0.3333333333333333,0.0,0.0,0.0,0.0,0.000000,2,dyadic,0
census_n3_W1_S1_C2,census,0,train,3,4,0.6666666666666666,2,2,2,2,2,0,0,1.0,1,2,0.25,0,0,1.2391655086730198e-10,0.0,0.035169155951277474,0.23707961647044307,0.0,0.0,0.0,0.0,0.000000,4,dyadic,0
census_n3_W1_S2_C2,census,0,train,3,4,0.6666666666666666,2,2,2,2,2,0,0,1.0,1,2,0.25,0,0,0.8112781244591329,2.8112781243352165,0.021101493570766485,0.0,1.8112781244591325,-2.220446049250313e-16,0.603759374819711,-0.8112781244591332,2.000000,4,triadic,1
census_n3_W1_S3_C2,census,0,train,3,3,0.5,1,2,1,2,1,0,0,1.0,1,2,0.5,0,0,1.0,2.999999999876084,0.028135324761021978,0.0,2.0,0.0,0.6666666666666666,-1.0,0.000000,4,dyadic,0
census_n3_W1_S4_C2,census,0,train,3,4,0.6666666666666666,2,2,2,2,2,0,0,1.0,1,2,0.25,0,0,0.8112781244591329,2.8112781243352165,0.04220298714153297,0.3333360000320003,1.8112781244591327,0.0,0.603759374819711,-0.8112781244591329,2.000000,4,triadic,1
census_n3_W1_S5_C2,census,0,train,3,3,0.5,1,2,1,2,1,0,0,1.0,1,2,0.5,0,0,1.0,2.999999999876084,0.04220298714153297,0.3333360000320003,2.0,0.0,0.6666666666666666,-1.0,0.000000,4,dyadic,0
census_n3_W1_S6_C2,census,0,train,3,4,0.6666666666666666,2,2,2,2,2,0,0,1.0,1,2,0.5,0,1,1.2391570094068194e-10,0.0,0.04220298714153297,0.23707961647044304,0.0,0.0,0.0,0.0,0.500000,4,triadic,1
