group,seed_idx,n_flip,flip_rate,any_flip,seed_triadic,seed_p
near_residual,2978,7,0.583333,1,0,0.541414
near_residual,2984,6,0.500000,1,0,0.541414
near_residual,2994,4,0.333333,1,1,0.434076
near_residual,2996,4,0.333333,1,1,0.434076
near_residual,3022,7,0.583333,1,0,0.541414
near_residual,3029,6,0.500000,1,0,0.541414
near_residual,3041,4,0.333333,1,1,0.434076
near_residual,3054,4,0.333333,1,1,0.434076
near_residual,3096,6,0.500000,1,0,0.541414
near_residual,3112,7,0.583333,1,0,0.541414
near_residual,3140,5,0.416667,1,1,0.457843
near_residual,3147,7,0.583333,1,0,0.541414
near_residual,3185,7,0.583333,1,1,0.457843
near_residual,3198,6,0.500000,1,0,0.541414
near_residual,3204,7,0.583333,1,1,0.457843
near_residual,3211,6,0.500000,1,0,0.541414
near_residual,3249,5,0.416667,1,1,0.457843
near_residual,3262,7,0.583333,1,0,0.541414
near_residual,3282,7,0.583333,1,0,0.541414
near_residual,3293,5,0.416667,1,1,0.457843
near_residual,3298,6,0.500000,1,0,0.541414
near_residual,3309,7,0.583333,1,1,0.457843
near_residual,3349,5,0.416667,1,1,0.457843
near_residual,3351,4,0.333333,1,1,0.360836
near_residual,3356,5,0.416667,1,1,0.457843
near_residual,3358,4,0.333333,1,1,0.360836
near_residual,3370,7,0.583333,1,0,0.541414
near_residual,3371,4,0.333333,1,1,0.360836
near_residual,3377,6,0.500000,1,0,0.541414
near_residual,3390,7,0.583333,1,1,0.457843
near_residual,3395,7,0.583333,1,1,0.457843
near_residual,3396,4,0.333333,1,1,0.360836
near_residual,3397,7,0.583333,1,1,0.457843
near_residual,3403,4,0.333333,1,1,0.360836
near_residual,3415,7,0.583333,1,0,0.541414
near_residual,3421,6,0.500000,1,0,0.541414
near_residual,3466,6,0.500000,1,0,0.541414
near_residual,3499,5,0.416667,1,1,0.457843
near_residual,3502,7,0.583333,1,1,0.457843
near_residual,3507,6,0.500000,1,0,0.541414
near_residual,3524,7,0.583333,1,0,0.541414
near_residual,3531,5,0.416667,1,1,0.457843
near_residual,3564,7,0.583333,1,0,0.541414
near_residual,3566,4,0.333333,1,1,0.360836
near_residual,3611,4,0.333333,1,1,0.360836
near_residual,3627,9,0.750000,1,0,0.718968
near_residual,3646,5,0.416667,1,1,0.457843
near_residual,3675,7,0.583333,1,1,0.457843
near_residual,3678,5,0.416667,1,1,0.457843
near_residual,3761,4,0.333333,1,1,0.360836
near_residual,3762,9,0.750000,1,0,0.718968
near_residual,3765,7,0.583333,1,1,0.457843
near_residual,3771,9,0.750000,1,0,0.718968
near_residual,3772,7,0.583333,1,1,0.457843
near_residual,3774,4,0.333333,1,1,0.360836
near_residual,3787,7,0.583333,1,1,0.457843
near_residual,3806,4,0.333333,1,1,0.360836
near_residual,3811,5,0.416667,1,1,0.457843
near_residual,3813,5,0.416667,1,1,0.457843
near_residual,3819,4,0.333333,1,1,0.360836
near_residual,3821,4,0.333333,1,1,0.360836
near_hit_control,274,4,0.333333,1,1,0.721319
near_hit_control,276,4,0.333333,1,1,0.721319
near_hit_control,289,4,0.333333,1,1,0.721319
near_hit_control,291,7,0.583333,1,0,0.456329
near_hit_control,299,8,0.666667,1,0,0.359993
near_hit_control,301,3,0.250000,1,1,0.721319
near_hit_control,306,7,0.583333,1,0,0.456329
near_hit_control,321,4,0.333333,1,1,0.721319
near_hit_control,334,4,0.333333,1,1,0.721319
near_hit_control,347,6,0.500000,1,0,0.456329
near_hit_control,350,7,0.583333,1,0,0.456329
near_hit_control,376,8,0.666667,1,0,0.359993
near_hit_control,382,8,0.666667,1,0,0.359993
near_hit_control,391,8,0.666667,1,0,0.359993
near_hit_control,392,7,0.583333,1,0,0.359993
near_hit_control,396,6,0.500000,1,0,0.456329
near_hit_control,434,8,0.666667,1,0,0.359993
near_hit_control,437,6,0.500000,1,0,0.456329
near_hit_control,445,7,0.583333,1,0,0.359993
near_hit_control,456,6,0.500000,1,0,0.456329
near_hit_control,466,3,0.250000,1,1,0.721319
near_hit_control,475,7,0.583333,1,0,0.359993
near_hit_control,484,4,0.333333,1,1,0.721319
near_hit_control,485,7,0.583333,1,0,0.456329
near_hit_control,487,8,0.666667,1,0,0.359993
near_hit_control,494,3,0.250000,1,1,0.721319
near_hit_control,529,4,0.333333,1,1,0.721319
near_hit_control,539,3,0.250000,1,1,0.721319
near_hit_control,541,8,0.666667,1,0,0.438901
near_hit_control,552,3,0.250000,1,1,0.721319
near_hit_control,558,7,0.583333,1,0,0.438901
near_hit_control,583,7,0.583333,1,0,0.438901
near_hit_control,584,8,0.666667,1,0,0.438901
near_hit_control,626,7,0.583333,1,0,0.438901
near_hit_control,637,8,0.666667,1,0,0.438901
near_hit_control,642,8,0.666667,1,0,0.438901
near_hit_control,651,8,0.666667,1,0,0.438901
near_hit_control,692,4,0.333333,1,1,0.721319
near_hit_control,699,4,0.333333,1,1,0.721319
near_hit_control,724,4,0.333333,1,1,0.721319
near_hit_control,727,3,0.250000,1,1,0.721319
near_hit_control,734,8,0.666667,1,0,0.438901
near_hit_control,737,4,0.333333,1,1,0.721319
near_hit_control,744,4,0.333333,1,1,0.721319
near_hit_control,990,7,0.583333,1,1,0.541429
near_hit_control,1006,5,0.416667,1,1,0.541429
near_hit_control,1063,7,0.583333,1,0,0.438901
near_hit_control,1064,8,0.666667,1,0,0.438901
near_hit_control,1080,7,0.583333,1,1,0.541429
near_hit_control,1140,7,0.583333,1,0,0.438901
near_hit_control,1141,5,0.416667,1,1,0.541429
near_hit_control,1148,5,0.416667,1,1,0.541429
near_hit_control,1156,8,0.666667,1,0,0.438901
near_hit_control,1186,5,0.416667,1,1,0.541429
near_hit_control,1192,7,0.583333,1,1,0.541429
near_hit_control,1208,8,0.666667,1,0,0.438901
near_hit_control,1218,5,0.416667,1,1,0.541429
near_hit_control,1233,8,0.666667,1,0,0.438901
near_hit_control,1235,7,0.583333,1,1,0.541429
near_hit_control,1237,7,0.583333,1,1,0.541429
near_hit_control,1239,8,0.666667,1,0,0.438901
near_hit_control,1250,7,0.583333,1,0,0.438901
near_hit_control,1261,8,0.666667,1,0,0.438901
near_hit_control,1319,5,0.416667,1,1,0.541429
near_hit_control,1323,7,0.583333,1,1,0.541429
near_hit_control,1412,7,0.583333,1,1,0.541429
near_hit_control,1416,5,0.416667,1,1,0.541429
near_hit_control,1457,5,0.416667,1,1,0.541429
near_hit_control,1458,7,0.583333,1,1,0.541429
near_hit_control,1517,7,0.583333,1,1,0.541429
near_hit_control,1518,5,0.416667,1,1,0.541429
near_hit_control,1816,8,0.666667,1,0,0.398069
near_hit_control,1818,7,0.583333,1,1,0.512214
near_hit_control,1820,7,0.583333,1,1,0.512214
near_hit_control,1822,8,0.666667,1,0,0.398069
near_hit_control,1828,7,0.583333,1,0,0.398069
near_hit_control,1835,8,0.666667,1,0,0.398069
near_hit_control,1844,5,0.416667,1,1,0.512214
near_hit_control,1858,7,0.583333,1,0,0.398069
near_hit_control,1859,5,0.416667,1,1,0.512214
near_hit_control,1866,5,0.416667,1,1,0.512214
near_hit_control,1921,8,0.666667,1,0,0.398069
near_hit_control,1953,7,0.583333,1,1,0.512214
near_hit_control,1956,5,0.416667,1,1,0.512214
near_hit_control,1970,8,0.666667,1,0,0.398069
near_hit_control,1985,7,0.583333,1,1,0.512214
near_hit_control,2017,8,0.666667,1,0,0.398069
near_hit_control,2030,7,0.583333,1,0,0.398069
near_hit_control,2071,8,0.666667,1,0,0.398069
near_hit_control,2072,7,0.583333,1,0,0.398069
near_hit_control,2084,8,0.666667,1,0,0.398069
near_hit_control,2085,7,0.583333,1,1,0.512214
near_hit_control,2092,7,0.583333,1,1,0.512214
near_hit_control,2093,8,0.666667,1,0,0.398069
near_hit_control,2104,5,0.416667,1,1,0.512214
near_hit_control,2114,8,0.666667,1,0,0.398069
near_hit_control,2130,7,0.583333,1,1,0.512214
near_hit_control,2136,5,0.416667,1,1,0.512214
near_hit_control,2161,8,0.666667,1,0,0.398069
near_hit_control,2177,7,0.583333,1,0,0.398069
near_hit_control,2179,5,0.416667,1,1,0.512214
near_hit_control,2181,5,0.416667,1,1,0.512214
near_hit_control,2242,7,0.583333,1,1,0.512214
near_hit_control,2258,8,0.666667,1,0,0.398069
near_hit_control,2269,7,0.583333,1,0,0.398069
near_hit_control,2583,7,0.583333,1,1,0.541414
near_hit_control,2587,5,0.416667,1,1,0.541414
near_hit_control,2628,5,0.416667,1,1,0.541414
near_hit_control,2632,7,0.583333,1,1,0.541414
near_hit_control,2673,7,0.583333,1,1,0.541414
near_hit_control,2674,5,0.416667,1,1,0.541414
near_hit_control,2781,5,0.416667,1,1,0.541414
near_hit_control,2782,7,0.583333,1,1,0.541414
near_hit_control,2836,8,0.666667,1,0,0.434076
near_hit_control,2843,7,0.583333,1,0,0.434076
near_hit_control,2868,7,0.583333,1,1,0.541414
near_hit_control,2888,8,0.666667,1,0,0.434076
near_hit_control,2897,5,0.416667,1,1,0.541414
near_hit_control,2900,7,0.583333,1,1,0.541414
near_hit_control,2932,8,0.666667,1,0,0.434076
near_hit_control,3000,7,0.583333,1,0,0.434076
near_hit_control,3002,5,0.416667,1,1,0.541414
near_hit_control,3004,5,0.416667,1,1,0.541414
near_hit_control,3009,5,0.416667,1,1,0.541414
