gate,budget,n_exact,miss_rate,fn_among_tri,fp_among_dya,n_miss,fn,fp
margin,0.00,0,0.075000,0.101010,0.064011,75,30,45
margin,0.05,50,0.050000,0.063973,0.044097,50,19,31
margin,0.10,100,0.032000,0.037037,0.029872,32,11,21
margin,0.15,150,0.017000,0.016835,0.017070,17,5,12
margin,0.20,200,0.009000,0.006734,0.009957,9,2,7
margin,0.25,250,0.006000,0.006734,0.005690,6,2,4
margin,0.30,300,0.002000,0.000000,0.002845,2,0,2
margin,0.40,400,0.000000,0.000000,0.000000,0,0,0
margin,0.50,500,0.000000,0.000000,0.000000,0,0,0
margin,1.00,1000,0.000000,0.000000,0.000000,0,0,0
fragility,0.00,0,0.075000,0.101010,0.064011,75,30,45
fragility,0.05,50,0.075000,0.101010,0.064011,75,30,45
fragility,0.10,100,0.075000,0.101010,0.064011,75,30,45
fragility,0.15,150,0.074000,0.101010,0.062589,74,30,44
fragility,0.20,200,0.072000,0.094276,0.062589,72,28,44
fragility,0.25,250,0.070000,0.087542,0.062589,70,26,44
fragility,0.30,300,0.068000,0.084175,0.061166,68,25,43
fragility,0.40,400,0.058000,0.070707,0.052632,58,21,37
fragility,0.50,500,0.043000,0.050505,0.039829,43,15,28
fragility,1.00,1000,0.000000,0.000000,0.000000,0,0,0
combined,0.00,0,0.075000,0.101010,0.064011,75,30,45
combined,0.05,50,0.065000,0.084175,0.056899,65,25,40
combined,0.10,100,0.049000,0.063973,0.042674,49,19,30
combined,0.15,150,0.040000,0.060606,0.031294,40,18,22
combined,0.20,200,0.034000,0.047138,0.028450,34,14,20
combined,0.25,250,0.027000,0.030303,0.025605,27,9,18
combined,0.30,300,0.026000,0.030303,0.024182,26,9,17
combined,0.40,400,0.015000,0.016835,0.014225,15,5,10
combined,0.50,500,0.008000,0.000000,0.011380,8,0,8
combined,1.00,1000,0.000000,0.000000,0.000000,0,0,0
random_mean,0.00,0,0.075000,0.101010,,,,
random_mean,0.05,50,0.071150,0.094444,,,,
random_mean,0.10,100,0.067500,0.092761,,,,
random_mean,0.15,150,0.064300,0.086027,,,,
random_mean,0.20,200,0.060650,0.080808,,,,
random_mean,0.25,250,0.055900,0.076094,,,,
random_mean,0.30,300,0.053100,0.070034,,,,
random_mean,0.40,400,0.044700,0.058586,,,,
random_mean,0.50,500,0.037950,0.049495,,,,
random_mean,1.00,1000,0.000000,0.000000,,,,
