state,S,minWC,structure,n_core,core,phi
"(1, 2, 1)",2,1,TRIADIC,3,W|S|C,0.5849625007211562
"(2, 1, 2)",1,2,DYADIC,2,W|S,2.1132833342948745
"(2, 0, 2)",0,2,DYADIC,2,W|S,1.9019550008653876
