family,p,phi,structure,n_core,major_complex,mc_phi
parity_hub,0.26,0.20927096,triadic,3,"{S,P1,P2}",0.20927096
parity_hub,0.27,0.19927845,triadic,3,"{S,P1,P2}",0.19927845
parity_hub,0.28,0.18938477,triadic,3,"{S,P1,P2}",0.18938477
parity_hub,0.29,0.17959128,triadic,3,"{S,P1,P2}",0.17959128
parity_hub,0.30,0.16989939,triadic,3,"{S,P1,P2}",0.16989939
parity_hub,0.31,0.16031055,triadic,3,"{S,P1,P2}",0.16031055
parity_hub,0.32,0.15082626,triadic,3,"{S,P1,P2}",0.15082626
parity_hub,0.33,0.14144806,triadic,3,"{S,P1,P2}",0.14144806
parity_hub,0.34,0.13217752,triadic,3,"{S,P1,P2}",0.13217752
parity_hub,0.35,0.12301628,triadic,3,"{S,P1,P2}",0.12301628
parity_hub,0.36,0.11396602,triadic,3,"{S,P1,P2}",0.11396602
parity_hub,0.37,0.10502848,triadic,3,"{S,P1,P2}",0.10502848
parity_hub,0.38,0.09620544,triadic,3,"{S,P1,P2}",0.09620544
parity_hub,0.39,0.08749875,triadic,3,"{S,P1,P2}",0.08749875
parity_hub,0.40,0.07891032,triadic,3,"{S,P1,P2}",0.07891032
parity_hub,0.41,0.07044212,triadic,3,"{S,P1,P2}",0.07044212
parity_hub,0.42,0.06209619,triadic,3,"{S,P1,P2}",0.06209619
parity_hub,0.43,0.05387464,triadic,3,"{S,P1,P2}",0.05387464
parity_hub,0.44,0.04577965,triadic,3,"{S,P1,P2}",0.04577965
parity_hub,0.45,0.03781347,triadic,3,"{S,P1,P2}",0.03781347
parity_hub,0.46,0.02997845,triadic,3,"{S,P1,P2}",0.02997845
parity_hub,0.47,0.02227703,triadic,3,"{S,P1,P2}",0.02227703
parity_hub,0.48,0.01471172,triadic,3,"{S,P1,P2}",0.01471172
parity_hub,0.49,0.00728513,triadic,3,"{S,P1,P2}",0.00728513
parity_hub,0.50,0.00000000,dyadic,0,(none),nan
