idx,n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,max_phi
241,4,2,0,1.0,0.0,1.0,1,6,0,1,0,0.000000
242,8,3,0,4.0,1.0,1.0,0,6,0,3,0,0.000000
243,6,4,1,2.0,0.0,1.0,0,6,0,5,0,0.000000
244,7,4,1,3.0,0.0,1.0,2,8,0,1,1,0.415037
245,5,2,0,2.0,0.0,1.0,0,5,0,4,0,0.000000
246,5,2,0,2.0,0.0,1.0,1,4,0,1,0,0.000000
247,4,2,0,1.0,0.0,1.0,1,6,0,1,0,0.000000
248,4,1,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
249,6,3,0,2.0,0.0,1.0,1,7,0,3,0,0.000000
250,6,2,0,3.0,0.0,1.0,1,5,0,1,0,0.000000
251,8,4,1,4.0,1.0,1.0,2,6,0,2,0,0.000000
252,6,2,0,3.0,0.0,1.0,0,5,0,4,0,0.000000
253,6,3,0,3.0,0.0,1.0,1,6,0,1,0,0.000000
254,6,4,1,2.0,0.0,1.0,1,6,0,1,0,0.000000
255,6,3,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
256,8,4,1,4.0,1.0,1.0,1,8,0,4,1,0.415037
257,8,3,0,3.0,0.0,1.0,1,6,0,2,0,0.000000
258,4,2,0,0.0,0.0,0.0,2,8,0,2,0,0.000000
259,8,4,1,4.0,1.0,1.0,1,7,0,1,0,0.000000
260,8,3,0,1.0,0.0,1.0,3,6,0,3,0,0.000000
261,5,3,0,1.0,0.0,1.0,1,6,0,1,0,0.000000
262,7,4,1,3.0,0.0,1.0,0,9,0,6,1,0.830075
263,6,3,0,2.0,0.0,1.0,0,6,0,4,0,0.000000
264,6,4,1,1.0,0.0,1.0,1,12,0,2,1,2.000000
265,6,2,0,3.0,0.0,1.0,1,5,0,1,0,0.000000
266,7,4,1,3.0,0.0,1.0,1,9,0,3,1,0.830075
267,8,4,1,3.0,0.0,1.0,1,8,0,3,1,0.830075
268,7,4,1,3.0,0.0,1.0,1,8,0,1,0,0.000000
269,7,4,1,1.0,0.0,1.0,2,12,0,4,1,1.000000
270,5,3,0,1.0,0.0,1.0,2,8,0,2,0,0.000000
271,8,4,1,3.0,0.0,1.0,0,9,0,4,1,0.415037
272,8,4,1,4.0,1.0,1.0,0,8,0,4,1,0.830075
273,2,0,0,1.0,0.0,1.0,1,2,0,1,0,0.000000
274,7,4,1,2.0,0.0,1.0,1,10,0,4,1,1.000000
275,6,3,0,2.0,0.0,1.0,1,5,0,2,0,0.000000
276,8,4,1,1.0,0.0,1.0,1,12,0,4,1,2.000000
277,8,4,1,3.0,0.0,1.0,1,10,0,2,1,0.415037
278,5,3,0,1.0,0.0,1.0,1,8,0,1,0,0.000000
279,7,3,0,3.0,0.0,1.0,1,6,0,1,0,0.000000
