start,terminal,phi_start,phi_term,struct_term,is_and,is_or,is_maximizer
121,121,0.50000000,0.50000000,triadic,0,0,0
122,122,2.00000000,2.00000000,triadic,0,0,1
123,122,0.50000000,2.00000000,triadic,0,0,1
124,126,0.00000000,2.00000000,triadic,0,0,1
125,108,0.00000000,2.00000000,triadic,0,0,1
126,126,2.00000000,2.00000000,triadic,0,0,1
127,126,0.00000000,2.00000000,triadic,0,0,1
128,128,2.00000000,2.00000000,triadic,0,0,1
129,129,2.00000000,2.00000000,triadic,0,0,1
130,130,2.00000000,2.00000000,triadic,0,0,1
131,131,2.00000000,2.00000000,triadic,0,0,1
132,128,0.50000000,2.00000000,triadic,0,0,1
133,129,1.00000000,2.00000000,triadic,0,0,1
134,130,1.00000000,2.00000000,triadic,0,0,1
135,131,0.50000000,2.00000000,triadic,0,0,1
136,128,0.00000000,2.00000000,triadic,0,0,1
137,129,0.00000000,2.00000000,triadic,0,0,1
138,130,0.00000000,2.00000000,triadic,0,0,1
139,131,0.00000000,2.00000000,triadic,0,0,1
140,172,0.00000000,2.00000000,triadic,0,0,1
141,129,0.00000000,2.00000000,triadic,0,0,1
142,130,0.00000000,2.00000000,triadic,0,0,1
143,159,0.00000000,2.00000000,triadic,0,0,1
144,144,2.00000000,2.00000000,triadic,0,0,1
145,145,2.00000000,2.00000000,triadic,0,0,1
146,146,2.00000000,2.00000000,triadic,0,0,1
147,147,2.00000000,2.00000000,triadic,0,0,1
148,144,1.00000000,2.00000000,triadic,0,0,1
149,145,0.50000000,2.00000000,triadic,0,0,1
150,146,0.50000000,2.00000000,triadic,0,0,1
151,147,0.50000000,2.00000000,triadic,0,0,1
152,144,0.00000000,2.00000000,triadic,0,0,1
153,145,0.00000000,2.00000000,triadic,0,0,1
154,146,0.50000000,2.00000000,triadic,0,0,1
155,159,0.00000000,2.00000000,triadic,0,0,1
156,159,0.00000000,2.00000000,triadic,0,0,1
157,159,0.00000000,2.00000000,triadic,0,0,1
158,159,1.00000000,2.00000000,triadic,0,0,1
159,159,2.00000000,2.00000000,triadic,0,0,1
160,160,2.00000000,2.00000000,triadic,1,0,1
161,161,2.00000000,2.00000000,triadic,0,0,1
162,162,2.00000000,2.00000000,triadic,0,0,1
163,163,2.00000000,2.00000000,triadic,0,0,1
164,160,1.00000000,2.00000000,triadic,1,0,1
165,161,0.50000000,2.00000000,triadic,0,0,1
166,162,0.50000000,2.00000000,triadic,0,0,1
167,163,0.50000000,2.00000000,triadic,0,0,1
168,172,0.00000000,2.00000000,triadic,0,0,1
169,161,0.50000000,2.00000000,triadic,0,0,1
170,162,0.00000000,2.00000000,triadic,0,0,1
171,163,0.00000000,2.00000000,triadic,0,0,1
172,172,2.00000000,2.00000000,triadic,0,0,1
173,172,1.00000000,2.00000000,triadic,0,0,1
174,172,0.00000000,2.00000000,triadic,0,0,1
175,172,0.00000000,2.00000000,triadic,0,0,1
176,176,2.00000000,2.00000000,triadic,0,0,1
177,177,2.00000000,2.00000000,triadic,0,0,1
178,178,2.00000000,2.00000000,triadic,0,0,1
179,179,2.00000000,2.00000000,triadic,0,0,1
180,182,0.50000000,2.00000000,triadic,0,0,1
181,177,0.50000000,2.00000000,triadic,0,0,1
182,182,2.00000000,2.00000000,triadic,0,0,1
183,182,0.50000000,2.00000000,triadic,0,0,1
184,186,0.00000000,2.00000000,triadic,0,0,1
185,177,0.00000000,2.00000000,triadic,0,0,1
186,186,2.00000000,2.00000000,triadic,0,0,1
187,186,0.00000000,2.00000000,triadic,0,0,1
188,190,0.00000000,2.00000000,triadic,0,0,1
189,172,0.00000000,2.00000000,triadic,0,0,1
190,190,2.00000000,2.00000000,triadic,0,0,1
191,190,0.00000000,2.00000000,triadic,0,0,1
192,128,0.00000000,2.00000000,triadic,0,0,1
193,201,0.00000000,2.00000000,triadic,0,0,1
194,202,0.00000000,2.00000000,triadic,0,0,1
195,131,0.00000000,2.00000000,triadic,0,0,1
196,228,0.00000000,2.00000000,triadic,0,0,1
197,228,0.00000000,2.00000000,triadic,0,0,1
198,215,0.00000000,2.00000000,triadic,0,0,1
199,215,0.00000000,2.00000000,triadic,0,0,1
200,201,0.00000000,2.00000000,triadic,0,0,1
201,201,2.00000000,2.00000000,triadic,0,0,1
202,202,2.00000000,2.00000000,triadic,0,0,1
203,202,0.00000000,2.00000000,triadic,0,0,1
204,204,0.00000000,0.00000000,dyadic,0,0,0
205,201,0.00000000,2.00000000,triadic,0,0,1
206,202,0.00000000,2.00000000,triadic,0,0,1
207,207,0.00000000,0.00000000,dyadic,0,0,0
208,216,0.00000000,2.00000000,triadic,0,0,1
209,145,0.00000000,2.00000000,triadic,0,0,1
210,242,0.50000000,2.00000000,triadic,0,0,1
211,215,0.00000000,2.00000000,triadic,0,0,1
212,215,0.00000000,2.00000000,triadic,0,0,1
213,215,0.00000000,2.00000000,triadic,0,0,1
214,215,1.00000000,2.00000000,triadic,0,0,1
215,215,2.00000000,2.00000000,triadic,0,0,1
216,216,2.00000000,2.00000000,triadic,0,0,1
217,216,0.00000000,2.00000000,triadic,0,0,1
218,219,1.00000000,2.00000000,triadic,0,0,1
219,219,2.00000000,2.00000000,triadic,0,0,1
220,216,0.00000000,2.00000000,triadic,0,0,1
221,221,0.00000000,0.00000000,dyadic,0,0,0
222,254,0.50000000,2.00000000,triadic,0,0,1
223,219,0.00000000,2.00000000,triadic,0,0,1
224,228,0.00000000,2.00000000,triadic,0,0,1
225,161,0.50000000,2.00000000,triadic,0,0,1
226,242,0.00000000,2.00000000,triadic,0,0,1
227,163,0.00000000,2.00000000,triadic,0,0,1
228,228,2.00000000,2.00000000,triadic,0,0,1
229,228,1.00000000,2.00000000,triadic,0,0,1
230,228,0.00000000,2.00000000,triadic,0,0,1
231,228,0.00000000,2.00000000,triadic,0,0,1
232,232,2.00000000,2.00000000,triadic,0,0,1
233,232,1.00000000,2.00000000,triadic,0,0,1
234,232,0.00000000,2.00000000,triadic,0,0,1
235,232,0.00000000,2.00000000,triadic,0,0,1
236,232,0.00000000,2.00000000,triadic,0,0,1
237,232,0.50000000,2.00000000,triadic,0,0,1
238,254,0.00000000,2.00000000,triadic,0,0,1
239,232,0.00000000,2.00000000,triadic,0,0,1
240,242,0.00000000,2.00000000,triadic,0,0,1
