locus,p,phi,structure,n_core,major_complex,mc_phi
mediator,0.28,0.40824128,triadic,3,"{W,S,C}",0.40824128
mediator,0.29,0.38014945,triadic,3,"{W,S,C}",0.38014945
mediator,0.30,0.35321778,triadic,3,"{W,S,C}",0.35321778
mediator,0.31,0.32739838,triadic,3,"{W,S,C}",0.32739838
mediator,0.32,0.30264596,triadic,3,"{W,S,C}",0.30264596
mediator,0.33,0.27891767,triadic,3,"{W,S,C}",0.27891767
mediator,0.34,0.25617299,triadic,3,"{W,S,C}",0.25617299
mediator,0.35,0.23437351,triadic,3,"{W,S,C}",0.23437351
mediator,0.36,0.21348288,triadic,3,"{W,S,C}",0.21348288
mediator,0.37,0.19346664,triadic,3,"{W,S,C}",0.19346664
mediator,0.38,0.17429211,triadic,3,"{W,S,C}",0.17429211
mediator,0.39,0.15592831,triadic,3,"{W,S,C}",0.15592831
mediator,0.40,0.13834583,triadic,3,"{W,S,C}",0.13834583
mediator,0.41,0.12151679,triadic,3,"{W,S,C}",0.12151679
mediator,0.42,0.10541470,triadic,3,"{W,S,C}",0.10541470
mediator,0.43,0.09001440,triadic,3,"{W,S,C}",0.09001440
mediator,0.44,0.07529202,triadic,3,"{W,S,C}",0.07529202
mediator,0.45,0.06122487,triadic,3,"{W,S,C}",0.06122487
mediator,0.46,0.04779141,triadic,3,"{W,S,C}",0.04779141
mediator,0.47,0.03497115,triadic,3,"{W,S,C}",0.03497115
mediator,0.48,0.02274466,triadic,3,"{W,S,C}",0.02274466
mediator,0.49,0.01109346,triadic,3,"{W,S,C}",0.01109346
mediator,0.50,0.00000000,dyadic,0,(none),nan
party_W,0.00,2.00000000,triadic,3,"{W,S,C}",2.00000000
party_W,0.01,0.97564543,triadic,2,"{S,C}",2.00000000
party_W,0.02,0.95143658,triadic,2,"{S,C}",2.00000000
party_W,0.03,0.92737495,triadic,2,"{S,C}",2.00000000
party_W,0.04,0.90346206,triadic,2,"{S,C}",2.00000000
party_W,0.05,0.87969945,triadic,2,"{S,C}",2.00000000
party_W,0.06,0.85608870,triadic,2,"{S,C}",2.00000000
party_W,0.07,0.83263144,triadic,2,"{S,C}",2.00000000
party_W,0.08,0.80932930,triadic,2,"{S,C}",2.00000000
party_W,0.09,0.78618399,triadic,2,"{S,C}",2.00000000
party_W,0.10,0.76319722,triadic,2,"{S,C}",2.00000000
party_W,0.11,0.74037074,triadic,2,"{S,C}",2.00000000
party_W,0.12,0.71770638,triadic,2,"{S,C}",2.00000000
party_W,0.13,0.69520596,triadic,2,"{S,C}",2.00000000
party_W,0.14,0.67287137,triadic,2,"{S,C}",2.00000000
party_W,0.15,0.65070453,triadic,2,"{S,C}",2.00000000
party_W,0.16,0.62870744,triadic,2,"{S,C}",2.00000000
party_W,0.17,0.60688209,triadic,2,"{S,C}",2.00000000
party_W,0.18,0.58523057,triadic,2,"{S,C}",2.00000000
party_W,0.19,0.56375499,triadic,2,"{S,C}",2.00000000
party_W,0.20,0.54245752,triadic,2,"{S,C}",2.00000000
party_W,0.21,0.52134040,triadic,2,"{S,C}",2.00000000
party_W,0.22,0.50040590,triadic,2,"{S,C}",2.00000000
party_W,0.23,0.47965637,triadic,2,"{S,C}",2.00000000
party_W,0.24,0.45909421,triadic,2,"{S,C}",2.00000000
party_W,0.25,0.43872188,triadic,2,"{S,C}",2.00000000
party_W,0.26,0.41854191,triadic,2,"{S,C}",2.00000000
party_W,0.27,0.39855691,triadic,2,"{S,C}",2.00000000
party_W,0.28,0.37876954,triadic,2,"{S,C}",2.00000000
party_W,0.29,0.35918256,triadic,2,"{S,C}",2.00000000
party_W,0.30,0.33979878,triadic,2,"{S,C}",2.00000000
party_W,0.31,0.32062110,triadic,2,"{S,C}",2.00000000
party_W,0.32,0.30165252,triadic,2,"{S,C}",2.00000000
party_W,0.33,0.28289611,triadic,2,"{S,C}",2.00000000
party_W,0.34,0.26435503,triadic,2,"{S,C}",2.00000000
party_W,0.35,0.24603256,triadic,2,"{S,C}",2.00000000
party_W,0.36,0.22793204,triadic,2,"{S,C}",2.00000000
party_W,0.37,0.21005695,triadic,2,"{S,C}",2.00000000
party_W,0.38,0.19241087,triadic,2,"{S,C}",2.00000000
party_W,0.39,0.17499750,triadic,2,"{S,C}",2.00000000
party_W,0.40,0.15782064,triadic,2,"{S,C}",2.00000000
party_W,0.41,0.14088425,triadic,2,"{S,C}",2.00000000
party_W,0.42,0.12419239,triadic,2,"{S,C}",2.00000000
party_W,0.43,0.10774928,triadic,2,"{S,C}",2.00000000
party_W,0.44,0.09155929,triadic,2,"{S,C}",2.00000000
party_W,0.45,0.07562694,triadic,2,"{S,C}",2.00000000
party_W,0.46,0.05995691,triadic,2,"{S,C}",2.00000000
party_W,0.47,0.04455406,triadic,2,"{S,C}",2.00000000
party_W,0.48,0.02942343,triadic,2,"{S,C}",2.00000000
party_W,0.49,0.01457027,triadic,2,"{S,C}",2.00000000
party_W,0.50,0.00000000,dyadic,2,"{S,C}",2.00000000
