idx,structure,max_phi,s_reads_all_three,n_states
198,dyadic,0.000000,True,4
199,dyadic,0.000000,True,4
200,dyadic,0.000000,True,4
201,dyadic,0.000000,True,4
202,dyadic,0.000000,True,4
203,dyadic,0.000000,True,4
204,dyadic,0.000000,True,2
205,dyadic,0.000000,True,4
206,dyadic,0.000000,True,4
207,dyadic,0.000000,True,4
208,dyadic,0.000000,True,4
209,dyadic,0.000000,True,4
210,dyadic,0.000000,True,4
211,dyadic,0.000000,True,2
212,dyadic,0.000000,True,4
213,dyadic,0.000000,False,4
214,dyadic,0.000000,True,4
215,dyadic,0.000000,True,4
216,dyadic,0.000000,True,4
217,dyadic,0.000000,True,4
218,triadic,0.471679,True,4
219,dyadic,0.000000,True,4
220,dyadic,0.000000,False,4
221,dyadic,0.000000,False,4
222,triadic,0.500000,True,4
223,dyadic,0.000000,True,4
224,dyadic,0.000000,True,2
225,dyadic,0.000000,True,4
226,dyadic,0.000000,True,4
227,dyadic,0.000000,False,4
228,dyadic,0.000000,True,4
229,dyadic,0.000000,True,4
230,triadic,0.500000,True,4
231,dyadic,0.000000,True,4
232,dyadic,0.000000,True,4
233,dyadic,0.000000,True,4
234,dyadic,0.000000,False,4
235,dyadic,0.000000,True,4
236,dyadic,0.000000,True,4
237,dyadic,0.000000,True,4
238,dyadic,0.000000,True,4
239,dyadic,0.000000,True,4
240,dyadic,0.000000,True,4
241,dyadic,0.000000,True,4
242,dyadic,0.000000,True,4
243,dyadic,0.000000,True,4
244,dyadic,0.000000,True,4
245,dyadic,0.000000,True,4
246,dyadic,0.000000,True,4
247,dyadic,0.000000,True,4
248,dyadic,0.000000,True,2
249,dyadic,0.000000,True,4
250,dyadic,0.000000,True,4
251,dyadic,0.000000,True,4
252,triadic,0.500000,True,4
253,dyadic,0.000000,True,4
254,dyadic,0.000000,True,4
255,dyadic,0.000000,True,4
256,dyadic,0.000000,True,4
257,dyadic,0.000000,True,4
258,dyadic,0.000000,True,4
259,dyadic,0.000000,False,4
260,dyadic,0.000000,True,4
261,dyadic,0.000000,True,4
262,dyadic,0.000000,True,4
263,dyadic,0.000000,True,4
264,dyadic,0.000000,True,4
265,dyadic,0.000000,True,4
266,dyadic,0.000000,False,4
267,dyadic,0.000000,True,4
268,dyadic,0.000000,True,4
269,dyadic,0.000000,True,4
270,triadic,0.500000,True,4
271,triadic,0.471679,True,4
272,dyadic,0.000000,True,4
273,dyadic,0.000000,True,4
274,dyadic,0.000000,True,4
275,dyadic,0.000000,True,4
276,dyadic,0.000000,True,4
277,dyadic,0.000000,True,4
278,dyadic,0.000000,False,4
279,dyadic,0.000000,True,4
280,dyadic,0.000000,True,4
281,dyadic,0.000000,False,4
282,dyadic,0.000000,True,4
283,dyadic,0.000000,True,4
284,dyadic,0.000000,True,4
285,dyadic,0.000000,True,4
286,dyadic,0.000000,False,4
287,triadic,0.471679,True,4
288,dyadic,0.000000,True,4
289,dyadic,0.000000,True,4
290,dyadic,0.000000,True,4
291,dyadic,0.000000,True,4
292,dyadic,0.000000,True,4
293,dyadic,0.000000,True,4
294,dyadic,0.000000,True,4
295,dyadic,0.000000,True,4
296,dyadic,0.000000,False,4
297,dyadic,0.000000,True,4
298,dyadic,0.000000,True,4
299,dyadic,0.000000,True,4
300,dyadic,0.000000,True,4
301,dyadic,0.000000,True,4
302,dyadic,0.000000,False,4
303,dyadic,0.000000,True,4
304,dyadic,0.000000,False,4
305,dyadic,0.000000,True,4
306,dyadic,0.000000,True,4
307,dyadic,0.000000,True,4
308,triadic,3.000000,True,4
309,dyadic,0.000000,True,4
310,dyadic,0.000000,False,4
311,dyadic,0.000000,True,4
312,dyadic,0.000000,True,4
313,dyadic,0.000000,True,4
