idx,det_structure,det_states,noisy_max_phi,noisy_triadic
198,dyadic,4,0.000000,False
199,dyadic,4,0.000000,False
200,dyadic,4,0.000000,False
201,dyadic,4,0.000000,False
202,dyadic,4,0.000000,False
203,dyadic,4,0.000000,False
204,dyadic,2,0.000000,False
205,dyadic,4,0.000000,False
206,dyadic,4,0.000000,False
207,dyadic,4,0.000000,False
208,dyadic,4,0.000000,False
209,dyadic,4,0.000000,False
210,dyadic,4,0.000000,False
211,dyadic,2,0.000000,False
212,dyadic,4,0.000000,False
213,dyadic,4,0.000000,False
214,dyadic,4,0.000000,False
215,dyadic,4,0.000000,False
216,dyadic,4,0.000000,False
217,dyadic,4,0.000000,False
218,triadic,4,0.328591,True
219,dyadic,4,0.000000,False
220,dyadic,4,0.000000,False
221,dyadic,4,0.000000,False
222,triadic,4,0.317563,True
223,dyadic,4,0.000000,False
224,dyadic,2,0.000000,False
225,dyadic,4,0.000000,False
226,dyadic,4,0.000000,False
227,dyadic,4,0.000000,False
228,dyadic,4,0.000000,False
229,dyadic,4,0.000000,False
230,triadic,4,0.317563,True
231,dyadic,4,0.000000,False
232,dyadic,4,0.000000,False
233,dyadic,4,0.000000,False
234,dyadic,4,0.000000,False
235,dyadic,4,0.000000,False
236,dyadic,4,0.000000,False
237,dyadic,4,0.000000,False
238,dyadic,4,0.000000,False
239,dyadic,4,0.000000,False
240,dyadic,4,0.000000,False
241,dyadic,4,0.000000,False
242,dyadic,4,0.000000,False
243,dyadic,4,0.000000,False
244,dyadic,4,0.000000,False
245,dyadic,4,0.000000,False
246,dyadic,4,0.000000,False
247,dyadic,4,0.000000,False
248,dyadic,2,0.000000,False
249,dyadic,4,0.000000,False
250,dyadic,4,0.000000,False
251,dyadic,4,0.000000,False
252,triadic,4,0.317563,True
253,dyadic,4,0.000000,False
254,dyadic,4,0.000000,False
255,dyadic,4,0.000000,False
256,dyadic,4,0.000000,False
257,dyadic,4,0.000000,False
258,dyadic,4,0.000000,False
259,dyadic,4,0.000000,False
260,dyadic,4,0.000000,False
261,dyadic,4,0.000000,False
262,dyadic,4,0.000000,False
263,dyadic,4,0.000000,False
264,dyadic,4,0.000000,False
265,dyadic,4,0.000000,False
266,dyadic,4,0.000000,False
267,dyadic,4,0.000000,False
268,dyadic,4,0.000000,False
269,dyadic,4,0.000000,False
270,triadic,4,0.317563,True
271,triadic,4,0.328591,True
272,dyadic,4,0.000000,False
273,dyadic,4,0.000000,False
274,dyadic,4,0.000000,False
275,dyadic,4,0.000000,False
276,dyadic,4,0.000000,False
277,dyadic,4,0.000000,False
278,dyadic,4,0.000000,False
279,dyadic,4,0.000000,False
280,dyadic,4,0.000000,False
281,dyadic,4,0.000000,False
282,dyadic,4,0.000000,False
283,dyadic,4,0.000000,False
284,dyadic,4,0.000000,False
285,dyadic,4,0.000000,False
286,dyadic,4,0.000000,False
287,triadic,4,0.328591,True
288,dyadic,4,0.000000,False
289,dyadic,4,0.000000,False
290,dyadic,4,0.000000,False
291,dyadic,4,0.000000,False
292,dyadic,4,0.000000,False
293,dyadic,4,0.000000,False
294,dyadic,4,0.000000,False
295,dyadic,4,0.000000,False
296,dyadic,4,0.000000,False
297,dyadic,4,0.000000,False
298,dyadic,4,0.000000,False
299,dyadic,4,0.000000,False
