eps,read_recipient_phi,broadcast_phi
0.0,2.000000,0.000000
0.05,1.533412,0.000000
0.1,1.155438,0.000000
0.2,0.610634,0.000000
0.3,0.276923,0.000000
0.5,0.000000,0.000000
