noise,H_stationary,Cn_stationary,total_correlation,phi_mean,phi_max
0.0,-0.0,0.0,1.652232010585627e-10,0.5,0.5
0.025,1.1991740360739007,0.23669718566978876,0.2840366228037461,0.1202760595822475,0.48110423832899
0.05,1.9288058727110833,0.3004327318570476,0.360519278228457,0.11511130824920021,0.46044523299680085
0.075,2.46128759112304,0.307514326471141,0.3690171917653693,0.10949623890521515,0.4379849556208606
0.1,2.86299921517254,0.28626432597492235,0.3435171911699073,0.10343002126537455,0.4137200850614982
0.125,3.168899586868256,0.25094079254852364,0.3011289510582289,0.09692295839301537,0.3876918335720615
0.15,3.4015659653918586,0.20998330815903146,0.25197996979083825,0.08999908161651249,0.35999632646604995
0.175,3.5771750951946304,0.16865884477618687,0.20239061373142464,0.08269869886725671,0.3307947954690269
0.2,3.708041396693455,0.13022582807287253,0.15627099368744624,0.07508062617164156,0.30032250468656624
0.225,3.803888314967432,0.09655802068595136,0.11586962482314167,0.0672237445990019,0.2688949783960077
0.25,3.872556248918266,0.06853448686310326,0.08224138423572391,0.05922745319801707,0.23690981279206827
0.275,3.9204275719052766,0.046316296111261646,0.05557955533351455,0.05121055830158224,0.20484223320632897
0.3,3.952698601180418,0.029562299717721546,0.03547475966126523,0.04330818267076955,0.1732327306830782
0.325,3.9735662090072346,0.01760670944422079,0.021128051333064946,0.035666424701858684,0.14266569880743474
0.35,3.9863677827369877,0.009607093541453577,0.011528512249745049,0.028434765780841746,0.11373906312336698
0.375,3.993697698931032,0.00466485955371628,0.005597831464458913,0.021756602433456042,0.08702640973382417
0.4,3.9975135025187334,0.0019181921218519953,0.002301830546222572,0.015758718100989125,0.0630348724039565
0.425,3.999237430590144,0.0006080857925501171,0.0007297029510606734,0.010540912697716742,0.04216365079086697
0.45,3.9998528712675925,0.00012020278487068214,0.00014424334184459653,0.006167254102608816,0.024669016410435268
0.475,3.999990938174811,7.513950806818197e-06,9.016740968981196e-06,0.002660389798113623,0.010641559192454492
0.5,4.0,0.0,0.0,0.0,0.0
