family,seed,structure,whole_phi_mip,core,core_phi,n_core,omit,is_derangement,mean_degree,clustering
nonder_k3,0,triadic,5.000000,N0|N1|N4,6.000000,3,3|2|4|4|2,False,6.000000,0.900000
nonder_k3,1,triadic,3.000000,N2|N3|N4,6.000000,3,4|3|1|1|0,False,6.000000,0.666667
nonder_k3,2,triadic,5.000000,N1|N2|N3,6.000000,3,3|4|0|4|3,False,6.000000,0.900000
nonder_k3,3,triadic,1.000000,N0|N3|N4,6.000000,3,2|4|1|2|2,False,6.000000,1.000000
nonder_k3,4,triadic,1.000000,N1|N2|N4,6.000000,3,3|0|0|0|3,False,6.000000,0.900000
nonder_k3,5,triadic,2.000000,N1|N2|N3|N4,5.000000,4,2|3|1|2|0,False,6.000000,1.000000
nonder_k3,6,triadic,5.000000,N0|N1|N4,6.000000,3,3|2|0|0|3,False,6.000000,0.900000
nonder_k3,7,triadic,1.000000,N1|N2|N4,6.000000,3,1|3|3|0|3,False,6.000000,1.000000
nonder_k3,8,triadic,3.000000,N0|N2|N4,6.000000,3,3|2|3|0|1,False,6.000000,0.900000
nonder_k3,9,triadic,5.000000,N1|N2|N3,6.000000,3,2|0|4|4|2,False,6.000000,0.900000
nonder_k3,10,triadic,1.000000,N1|N3|N4,6.000000,3,3|0|3|0|0,False,6.000000,0.900000
nonder_k3,11,triadic,3.000000,N1|N2|N3,6.000000,3,1|0|0|4|2,False,6.000000,0.900000
nonder_k3,12,triadic,1.000000,N0|N1|N3,6.000000,3,4|4|3|4|0,False,6.000000,0.900000
nonder_k3,13,triadic,1.000000,N2|N3|N4,6.000000,3,1|0|0|1|1,False,6.000000,0.900000
nonder_k3,14,triadic,1.000000,N1|N3|N4,6.000000,3,4|0|4|0|0,False,6.000000,0.900000
nonder_k3,15,triadic,1.000000,N0|N3|N4,6.000000,3,2|2|0|2|1,False,6.000000,0.900000
nonder_k3,16,triadic,1.000000,N0|N3|N4,6.000000,3,2|2|0|2|1,False,6.000000,0.900000
nonder_k3,17,triadic,3.000000,N1|N2|N4,6.000000,3,1|3|0|2|3,False,6.000000,1.000000
nonder_k3,18,triadic,1.000000,N2|N3|N4,6.000000,3,4|3|0|0|0,False,6.000000,0.900000
nonder_k3,19,triadic,1.000000,N1|N3|N4,6.000000,3,2|0|3|0|0,False,6.000000,1.000000
nonder_k3,20,triadic,3.000000,N0|N3|N4,6.000000,3,1|4|0|1|2,False,6.000000,1.000000
nonder_k3,21,triadic,2.000000,N0|N2|N3|N4,5.000000,4,1|3|3|4|2,False,6.000000,1.000000
nonder_k3,22,triadic,3.000000,N2|N3|N4,6.000000,3,2|3|1|0|1,False,6.000000,1.000000
nonder_k3,23,triadic,5.000000,N0|N2|N3,6.000000,3,4|2|1|1|2,False,6.000000,0.900000
nonder_k3,24,triadic,5.000000,N0|N1|N4,6.000000,3,2|3|1|1|3,False,6.000000,0.900000
nonder_k3,25,triadic,1.000000,N1|N2|N4,6.000000,3,1|0|0|4|0,False,6.000000,0.900000
nonder_k3,26,triadic,5.000000,N2|N3|N4,6.000000,3,4|4|0|1|0,False,6.000000,0.900000
nonder_k3,27,triadic,3.000000,N0|N2|N3,6.000000,3,4|0|4|1|2,False,6.000000,0.900000
nonder_k3,28,triadic,3.000000,N0|N1|N3,6.000000,3,2|4|1|2|0,False,6.000000,1.000000
nonder_k3,29,triadic,3.000000,N0|N3|N4,6.000000,3,2|3|4|1|2,False,6.000000,0.666667
nonder_k3,30,triadic,1.000000,N0|N3|N4,6.000000,3,2|2|1|2|1,False,6.000000,0.900000
nonder_k3,31,triadic,1.000000,N1|N2|N4,6.000000,3,2|3|3|2|3,False,6.000000,0.900000
nonder_k3,32,triadic,1.000000,N2|N3|N4,6.000000,3,1|0|1|1|0,False,6.000000,0.900000
nonder_k3,33,triadic,3.000000,N1|N2|N3,6.000000,3,2|4|0|0|3,False,6.000000,0.900000
nonder_k3,34,triadic,2.000000,N0|N1|N2|N4,5.000000,4,4|0|3|1|1,False,6.000000,1.000000
nonder_k3,35,triadic,3.000000,N0|N2|N3,6.000000,3,4|3|4|1|0,False,6.000000,0.666667
nonder_k3,36,triadic,2.000000,N0|N1|N2|N4,5.000000,4,4|0|3|1|1,False,6.000000,1.000000
nonder_k3,37,triadic,2.000000,N0|N2|N3|N4,5.000000,4,3|0|0|2|1,False,6.000000,1.000000
nonder_k3,38,triadic,1.000000,N0|N3|N4,6.000000,3,2|2|3|1|2,False,6.000000,1.000000
nonder_k3,39,triadic,1.000000,N2|N3|N4,6.000000,3,1|4|0|1|1,False,6.000000,0.900000
nonder_k3,40,dyadic,0.000000,N0|N1|N3|N4,12.000000,4,2|2|1|2|2,False,6.000000,0.900000
nonder_k3,41,triadic,5.000000,N0|N3|N4,6.000000,3,2|3|3|2|1,False,6.000000,0.900000
nonder_k3,42,dyadic,0.000000,N1|N2|N3|N4,12.000000,4,1|0|0|0|0,False,6.000000,0.900000
nonder_k3,43,triadic,5.000000,N0|N1|N4,6.000000,3,2|3|0|0|2,False,6.000000,0.900000
nonder_k3,44,triadic,3.000000,N0|N3|N4,6.000000,3,1|3|0|2|2,False,6.000000,1.000000
nonder_k3,45,triadic,3.000000,N0|N1|N4,6.000000,3,3|2|0|4|2,False,6.000000,1.000000
nonder_k3,46,triadic,3.000000,N1|N2|N3,6.000000,3,2|0|4|0|3,False,6.000000,1.000000
nonder_k3,47,triadic,2.000000,N0|N2|N3|N4,5.000000,4,3|3|0|2|1,False,6.000000,1.000000
fixed_k2,0,triadic,1.415037,N2|N4,2.000000,2,,False,4.000000,0.766667
fixed_k2,1,dyadic,0.000000,N0|N2,2.000000,2,,False,4.000000,0.866667
fixed_k2,2,triadic,2.000000,N2|N3,2.000000,2,,False,4.000000,0.000000
fixed_k2,3,dyadic,0.000000,N0|N1|N3|N4,4.000000,4,,False,4.000000,0.333333
fixed_k2,4,dyadic,0.000000,N1|N2,2.000000,2,,False,4.000000,0.766667
fixed_k2,5,triadic,1.000000,N2|N4,2.000000,2,,False,4.000000,0.333333
fixed_k2,6,triadic,1.000000,N1|N3|N4,2.000000,3,,False,4.000000,0.666667
fixed_k2,7,dyadic,0.000000,N1|N4,2.000000,2,,False,4.000000,0.766667
fixed_k2,8,triadic,2.000000,N2|N4,2.000000,2,,False,4.000000,0.866667
fixed_k2,9,triadic,1.415037,N0|N2,2.000000,2,,False,4.000000,0.400000
fixed_k2,10,triadic,1.245112,N0|N4,2.000000,2,,False,4.000000,0.866667
fixed_k2,11,dyadic,0.000000,N2|N3,2.000000,2,,False,4.000000,0.766667
fixed_k2,12,triadic,1.000000,N2|N4,2.000000,2,,False,4.000000,0.666667
fixed_k2,13,triadic,1.000000,N1|N2,2.000000,2,,False,4.000000,0.400000
fixed_k2,14,triadic,1.000000,N0|N3,2.000000,2,,False,4.000000,0.866667
fixed_k2,15,triadic,1.415037,N0|N1,2.000000,2,,False,4.000000,0.400000
fixed_k2,16,triadic,1.000000,N0|N4,2.000000,2,,False,4.000000,0.333333
fixed_k2,17,dyadic,0.000000,N3|N4,2.000000,2,,False,4.000000,0.766667
fixed_k2,18,dyadic,0.000000,N2|N3,2.000000,2,,False,4.000000,0.800000
fixed_k2,19,triadic,1.000000,N1|N2,2.000000,2,,False,4.000000,0.333333
fixed_k2,20,triadic,1.000000,N1|N4,2.000000,2,,False,4.000000,0.400000
fixed_k2,21,triadic,1.000000,N3|N4,2.000000,2,,False,4.000000,0.333333
fixed_k2,22,dyadic,0.000000,N2|N3,2.000000,2,,False,4.000000,0.400000
fixed_k2,23,triadic,2.000000,N2|N4,2.000000,2,,False,4.000000,0.766667
