family,locus,p,phi,structure,n_core,major_complex,mc_phi
conjunctive_hub,mediator,0.00,2.00000000,triadic,3,"{S,P1,P2}",2.00000000
conjunctive_hub,mediator,0.01,1.89937448,triadic,3,"{S,P1,P2}",1.89937448
conjunctive_hub,mediator,0.02,1.80383146,triadic,3,"{S,P1,P2}",1.80383146
conjunctive_hub,mediator,0.03,1.71304964,triadic,3,"{S,P1,P2}",1.71304964
conjunctive_hub,mediator,0.04,1.62673333,triadic,3,"{S,P1,P2}",1.62673333
conjunctive_hub,mediator,0.05,1.54461009,triadic,3,"{S,P1,P2}",1.54461009
conjunctive_hub,mediator,0.06,1.46642848,triadic,3,"{S,P1,P2}",1.46642848
conjunctive_hub,mediator,0.07,1.39195612,triadic,3,"{S,P1,P2}",1.39195612
conjunctive_hub,mediator,0.08,1.32097800,triadic,3,"{S,P1,P2}",1.32097800
conjunctive_hub,mediator,0.09,1.25329487,triadic,3,"{S,P1,P2}",1.25329487
conjunctive_hub,mediator,0.10,1.18872188,triadic,3,"{S,P1,P2}",1.18872188
conjunctive_hub,mediator,0.11,1.12708731,triadic,3,"{S,P1,P2}",1.12708731
conjunctive_hub,mediator,0.12,1.06823151,triadic,3,"{S,P1,P2}",1.06823151
conjunctive_hub,mediator,0.13,1.01200580,triadic,3,"{S,P1,P2}",1.01200580
conjunctive_hub,mediator,0.14,0.95827163,triadic,3,"{S,P1,P2}",0.95827163
conjunctive_hub,mediator,0.15,0.90689973,triadic,3,"{S,P1,P2}",0.90689973
conjunctive_hub,mediator,0.16,0.85776937,triadic,3,"{S,P1,P2}",0.85776937
conjunctive_hub,mediator,0.17,0.81076769,triadic,3,"{S,P1,P2}",0.81076769
conjunctive_hub,mediator,0.18,0.76578905,triadic,3,"{S,P1,P2}",0.76578905
conjunctive_hub,mediator,0.19,0.72273456,triadic,3,"{S,P1,P2}",0.72273456
conjunctive_hub,mediator,0.20,0.68151147,triadic,3,"{S,P1,P2}",0.68151147
conjunctive_hub,mediator,0.21,0.64203279,triadic,3,"{S,P1,P2}",0.64203279
conjunctive_hub,mediator,0.22,0.60421683,triadic,3,"{S,P1,P2}",0.60421683
conjunctive_hub,mediator,0.23,0.56798680,triadic,3,"{S,P1,P2}",0.56798680
conjunctive_hub,mediator,0.24,0.53327051,triadic,3,"{S,P1,P2}",0.53327051
conjunctive_hub,mediator,0.25,0.50000000,triadic,3,"{S,P1,P2}",0.50000000
conjunctive_hub,mediator,0.26,0.46811127,triadic,3,"{S,P1,P2}",0.46811127
conjunctive_hub,mediator,0.27,0.43754400,triadic,3,"{S,P1,P2}",0.43754400
conjunctive_hub,mediator,0.28,0.40824128,triadic,3,"{S,P1,P2}",0.40824128
conjunctive_hub,mediator,0.29,0.38014945,triadic,3,"{S,P1,P2}",0.38014945
conjunctive_hub,mediator,0.30,0.35321778,triadic,3,"{S,P1,P2}",0.35321778
conjunctive_hub,mediator,0.31,0.32739838,triadic,3,"{S,P1,P2}",0.32739838
conjunctive_hub,mediator,0.32,0.30264596,triadic,3,"{S,P1,P2}",0.30264596
conjunctive_hub,mediator,0.33,0.27891767,triadic,3,"{S,P1,P2}",0.27891767
conjunctive_hub,mediator,0.34,0.25617299,triadic,3,"{S,P1,P2}",0.25617299
conjunctive_hub,mediator,0.35,0.23437351,triadic,3,"{S,P1,P2}",0.23437351
conjunctive_hub,mediator,0.36,0.21348288,triadic,3,"{S,P1,P2}",0.21348288
conjunctive_hub,mediator,0.37,0.19346664,triadic,3,"{S,P1,P2}",0.19346664
conjunctive_hub,mediator,0.38,0.17429211,triadic,3,"{S,P1,P2}",0.17429211
conjunctive_hub,mediator,0.39,0.15592831,triadic,3,"{S,P1,P2}",0.15592831
conjunctive_hub,mediator,0.40,0.13834583,triadic,3,"{S,P1,P2}",0.13834583
conjunctive_hub,mediator,0.41,0.12151679,triadic,3,"{S,P1,P2}",0.12151679
conjunctive_hub,mediator,0.42,0.10541470,triadic,3,"{S,P1,P2}",0.10541470
conjunctive_hub,mediator,0.43,0.09001440,triadic,3,"{S,P1,P2}",0.09001440
conjunctive_hub,mediator,0.44,0.07529202,triadic,3,"{S,P1,P2}",0.07529202
conjunctive_hub,mediator,0.45,0.06122487,triadic,3,"{S,P1,P2}",0.06122487
conjunctive_hub,mediator,0.46,0.04779141,triadic,3,"{S,P1,P2}",0.04779141
conjunctive_hub,mediator,0.47,0.03497115,triadic,3,"{S,P1,P2}",0.03497115
conjunctive_hub,mediator,0.48,0.02274466,triadic,3,"{S,P1,P2}",0.02274466
conjunctive_hub,mediator,0.49,0.01109346,triadic,3,"{S,P1,P2}",0.01109346
conjunctive_hub,mediator,0.50,0.00000000,dyadic,0,(none),nan
conjunctive_hub,party_P1,0.00,2.00000000,triadic,3,"{S,P1,P2}",2.00000000
conjunctive_hub,party_P1,0.01,0.97564543,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.02,0.95143658,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.03,0.92737495,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.04,0.90346206,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.05,0.87969945,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.06,0.85608870,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.07,0.83263144,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.08,0.80932930,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.09,0.78618399,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.10,0.76319722,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.11,0.74037074,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.12,0.71770638,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.13,0.69520596,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.14,0.67287137,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.15,0.65070453,triadic,2,"{S,P2}",2.00000000
conjunctive_hub,party_P1,0.16,0.62870744,triadic,2,"{S,P2}",2.00000000
