measure,spearman,ci_lo,ci_hi,p_value,auc_phi_positive
phi_wms,0.5797229048931147,0.4617188050068601,0.6748270197064657,1.2204132153984614e-17,0.8595238095238096
integrated_synergy,0.47859128514853166,0.36722398343693163,0.5818259098656875,9.46394942193179e-12,0.7841269841269841
total_correlation,-0.37348882420359475,-0.49734169804831224,-0.2432664456251501,2.2355499026645066e-07,0.2605339105339105
phi_psi,-0.27567562626865766,-0.4167025021011611,-0.13218127594856038,0.00017252018422658612,0.3586580086580087
stochastic_interaction,0.13606576968893488,-0.01899909098660047,0.27858666768453055,0.06779022506478559,0.5733044733044733
i,-0.13538448273488454,-0.2814699007777976,0.01360810830793793,0.06919131752897299,0.39321789321789324
tdmi,-0.1348465307876652,-0.28107581989615904,0.01440870888711454,0.07031422360344441,0.3935064935064935
psi,0.0852310752506776,-0.07916471292706008,0.24274251990174714,0.2539532704200203,0.5235209235209235
causal_density,-0.011269492024367065,-0.16032562940156964,0.13253320650467784,0.8803150242322532,0.5125541125541125
