net_idx,n,density,noise,n_edges,state,phi,n_distinctions,sum_phi_distinctions,n_relations,sum_phi_relations,mean_order,frac_higher_order,max_order
61,4,0.3,0.2,4,0001,0.0,2,1.0849150481802203,1,0.2712287620450551,1.0,0.0,1
62,4,0.3,0.2,6,1100,0.0,3,0.98408889934124,2,0.22081568762556494,1.0,0.0,1
62,4,0.3,0.2,6,0001,0.0,3,1.324563273667347,3,0.5718720494853217,1.0,0.0,1
62,4,0.3,0.2,6,1111,0.0,3,1.3422016345950993,4,0.7997441105049892,1.0,0.0,1
63,4,0.5,0.0,9,1000,0.0,4,1.421363887554895,15,1.6438996647978354,1.25,0.25,2
63,4,0.5,0.0,9,1010,0.0,5,1.6118425798192544,8,1.2319379201590392,1.4,0.4,2
63,4,0.5,0.0,9,0010,0.0,4,1.026880079098098,12,1.0287992190671162,1.25,0.25,2
64,4,0.5,0.0,6,1111,0.0,5,4.25,10,5.0,1.2,0.2,2
64,4,0.5,0.0,6,0001,0.0,4,2.3027279796237647,5,2.3027279796237647,1.0,0.0,1
64,4,0.5,0.0,6,0000,0.0,4,2.3027279796237647,8,2.1054559592475295,1.0,0.0,1
65,4,0.5,0.0,9,0000,0.0,5,2.4953730575661606,18,3.8026275924643085,1.2,0.2,2
65,4,0.5,0.0,9,1001,0.0,5,1.2711488112744003,14,1.5411507729150689,1.2,0.2,2
65,4,0.5,0.0,9,1011,0.0,5,1.3285037333320044,16,2.11938476738583,1.2,0.2,2
66,4,0.5,0.05,9,1000,0.0,2,0.9896618785819636,2,0.4673403315525939,1.0,0.0,1
66,4,0.5,0.05,9,1111,0.0,3,1.4063648144440684,5,0.7164933291125993,2.0,0.3333333333333333,4
66,4,0.5,0.05,9,1011,0.0,3,1.4063648144440684,5,0.7306730149604219,2.0,0.3333333333333333,4
67,4,0.5,0.05,8,1100,0.0,1,0.21992486190710295,1,0.04398497238142059,1.0,0.0,1
67,4,0.5,0.05,8,0001,0.0,3,1.213869777481557,4,0.529914233344455,1.6666666666666667,0.3333333333333333,3
67,4,0.5,0.05,8,1000,0.0,2,0.9237783274675074,2,0.2749060773838787,1.0,0.0,1
68,4,0.5,0.05,7,0001,0.0,2,1.7593988952568236,2,0.8796994476284118,1.0,0.0,1
68,4,0.5,0.05,7,1010,0.0,2,1.7593988952568236,1,0.4398497238142059,1.0,0.0,1
68,4,0.5,0.05,7,0010,0.0,2,1.7593988952568236,2,0.8796994476284118,1.0,0.0,1
69,4,0.5,0.2,6,0110,0.0,2,1.0849150481802203,1,0.1808191746967034,1.0,0.0,1
69,4,0.5,0.2,6,1101,0.0,2,1.0849150481802203,2,0.3616383493934068,1.0,0.0,1
69,4,0.5,0.2,6,0100,0.0,2,1.0849150481802203,1,0.1808191746967034,1.0,0.0,1
70,4,0.5,0.2,10,1001,0.0,2,0.26013963926977146,1,0.03917765651653182,1.0,0.0,1
70,4,0.5,0.2,10,1101,0.0,7,3.3122032559495853,126,12.586487717548712,1.7142857142857142,0.5714285714285714,3
