idx,gates,phi_mean,phi_max,n_states_evaluated,n,density,noise,n_edges,total_correlation,stochastic_interaction,lz_complexity,mean_abs_corr,tdmi,phi_wms,causal_density,integrated_synergy
616,majority|and|parity|or,0.10004095689545442,0.41503749927884376,8,4,0.8,0.0,12,1.4861606776391219,0.8996565715389209,0.03289735285398626,0.19239803232258157,0.9933927290103627,-0.6962122601251459,0.18324747623871643,-0.7433927290103627
617,or|majority|and|parity,0.0,0.0,7,4,0.8,0.0,14,0.37242595476679297,0.0,0.03289735285398626,0.40213263400990534,1.198192411043098,-0.3372900666170139,0.0,-0.3372900666170139
618,majority|and|or|or,0.0,0.0,6,4,0.8,0.0,13,0.4489120310185637,0.899656571538922,0.027414460711655216,0.16666666666666666,2.077819531114783,-0.31485946360663264,0.08433990106554545,-0.34977325038074847
619,and|and|and|parity,0.2,1.0,5,4,0.8,0.0,13,0.7400879782512435,0.0,0.021931568569324173,0.16666666666666666,1.271782221599798,-0.3372900666170139,0.0,-0.3372900666170139
620,and|and|or|majority,0.0,0.0,4,4,0.8,0.0,15,0.6870419140402755,0.0,0.010965784284662087,0.0,0.8683927290103627,-0.3372900666170139,0.0,-0.3372900666170139
621,parity|and|majority|parity,0.3018796874098555,2.0,8,4,0.8,0.0,13,0.39149731996403303,0.0,0.021931568569324173,0.8042652680198107,1.271782221599798,-0.3372900666170139,0.0,-0.3372900666170139
622,parity|parity|parity|or,0.0,0.0,16,4,0.8,0.0,8,0.0,2.9999999998760836,0.043863137138648346,0.08388205251341263,4.0,2.0,0.08333333333333333,0.0
623,parity|majority|or|majority,0.0,0.0,6,4,0.8,0.0,13,1.8052586339116234,2.5849394142282115e-26,0.027414460711655216,0.16666666666666666,1.8828560636920488,-0.8960382325345575,0.0,-1.5794340029249652
624,or|majority|copy|majority,0.0,0.0,5,4,0.8,0.0,14,1.512890694431909,0.0,0.021931568569324173,0.0,1.3663146570363986,-0.8960382325345575,0.0,-1.3663146570363986
625,parity|or|majority|and,0.0,0.0,6,4,0.8,0.0,15,0.14595294236955159,1.9429515960163393,0.0383802449963173,0.08320811412911357,2.1800365325772657,0.0,0.15352908887055408,-0.13447053550223087
626,and|majority|copy|and,0.4,2.0,5,4,0.8,0.0,15,1.0118701998510415,0.0,0.021931568569324173,0.16666666666666666,0.3372900666170139,-0.3372900666170139,0.0,-0.3372900666170139
627,or|parity|majority|and,0.0,0.0,8,4,0.8,0.0,10,0.8902352436396814,1.7442352917489596,0.03289735285398626,0.1815291467373729,2.5243974703476995,-0.399397470347699,0.1947482955055507,-0.6915189394032806
628,copy|parity|parity|and,0.0,0.0,10,4,0.8,0.0,13,0.25947053550223087,1.931651004304837,0.03289735285398626,0.09933087155020981,3.077819531114783,0.03770993338298567,0.01813130660448788,-0.1939626904850149
629,and|majority|parity|majority,0.03852901558847917,0.19264507794239583,5,4,0.8,0.0,14,1.0871288864404987,2.5849394142282115e-26,0.027414460711655216,0.4034122818011044,0.5435644431995963,-0.5435644431995963,0.0,-0.5435644431995963
