idx,n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,max_phi
0,9,4,0,3.0,0.0,1.0,0,10,0,4,0,0.000000
1,9,5,1,2.0,0.0,1.0,0,20,0,10,1,1.415037
2,7,3,0,1.0,0.0,1.0,1,12,0,1,0,0.000000
3,7,3,0,2.0,0.0,1.0,1,10,0,3,0,0.000000
4,10,5,1,4.0,0.0,1.0,1,16,0,4,0,0.000000
5,7,3,0,3.0,0.0,1.0,2,9,0,1,0,0.000000
6,5,3,0,1.0,0.0,1.0,1,8,0,1,0,0.000000
7,7,4,0,3.0,0.0,1.0,1,9,0,1,0,0.000000
8,5,2,0,1.0,0.0,1.0,1,6,0,1,0,0.000000
9,8,3,0,2.0,0.0,1.0,1,7,0,1,0,0.000000
10,5,3,0,1.0,0.0,1.0,0,12,0,6,0,0.000000
11,5,2,0,1.0,0.0,1.0,2,6,0,2,0,0.000000
12,6,4,0,1.0,0.0,1.0,2,8,0,3,0,0.000000
13,7,3,0,2.0,0.0,1.0,1,10,0,1,0,0.000000
14,8,4,0,3.0,0.0,1.0,2,9,0,2,0,0.000000
15,7,4,0,3.0,0.0,1.0,1,12,0,4,0,0.000000
16,7,3,0,3.0,0.0,1.0,0,9,0,5,0,0.000000
17,7,4,0,3.0,0.0,1.0,1,9,0,2,0,0.000000
18,9,5,1,3.0,0.0,1.0,1,15,0,1,1,0.830075
19,10,4,0,3.0,0.0,1.0,2,12,0,2,0,0.000000
20,10,4,0,4.0,0.0,1.0,1,9,0,3,0,0.000000
21,5,2,0,1.0,0.0,1.0,1,6,0,1,0,0.000000
22,8,4,0,3.0,0.0,1.0,1,8,0,3,0,0.000000
23,7,5,1,2.0,0.0,1.0,0,16,0,7,1,1.000000
24,6,2,0,3.0,0.0,1.0,1,6,0,1,0,0.000000
25,6,4,0,1.0,0.0,1.0,0,12,0,6,0,0.000000
26,7,3,0,2.0,0.0,1.0,1,9,0,1,0,0.000000
27,7,5,1,2.0,0.0,1.0,0,16,0,7,0,0.000000
28,5,0,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
29,5,3,0,1.0,0.0,1.0,0,12,0,4,0,0.000000
30,7,4,0,2.0,0.0,1.0,2,12,0,1,0,0.000000
31,8,5,1,2.0,0.0,1.0,1,18,0,2,0,0.000000
32,7,3,0,3.0,0.0,1.0,0,9,0,5,0,0.000000
33,7,3,0,2.0,0.0,1.0,2,9,0,2,0,0.000000
34,7,3,0,3.0,0.0,1.0,0,6,0,4,0,0.000000
35,9,5,0,3.0,0.0,1.0,2,16,0,2,0,0.000000
36,6,3,0,1.0,0.0,1.0,0,12,0,4,0,0.000000
37,8,5,0,2.0,0.0,1.0,3,18,0,3,0,0.000000
38,5,3,0,2.0,0.0,1.0,1,8,0,1,0,0.000000
39,10,5,1,3.0,0.0,1.0,2,16,0,2,1,1.415037
40,8,5,1,3.0,0.0,1.0,3,12,0,2,0,0.000000
41,10,5,1,4.0,0.0,1.0,1,12,0,1,0,0.000000
42,8,4,0,3.0,0.0,1.0,0,10,0,6,0,0.000000
43,5,2,0,2.0,0.0,1.0,1,8,0,1,0,0.000000
44,9,5,1,2.0,0.0,1.0,0,12,0,3,1,0.415037
45,6,4,0,1.0,0.0,1.0,1,8,0,2,0,0.000000
46,7,3,0,3.0,0.0,1.0,1,5,0,2,0,0.000000
47,6,2,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
48,10,5,1,5.0,1.0,1.0,1,12,0,2,0,0.000000
49,10,5,1,5.0,1.0,1.0,1,14,0,3,0,0.000000
50,9,4,0,2.0,0.0,1.0,2,14,0,4,0,0.000000
51,7,3,0,1.0,0.0,1.0,1,8,0,2,0,0.000000
52,8,4,0,4.0,0.0,1.0,1,12,0,1,0,0.000000
53,8,4,0,3.0,0.0,1.0,1,12,0,1,0,0.000000
54,7,4,0,2.0,0.0,1.0,2,12,0,2,0,0.000000
55,8,4,0,4.0,0.0,1.0,1,11,0,3,0,0.000000
56,4,2,0,1.0,0.0,1.0,2,4,0,2,0,0.000000
57,8,4,0,4.0,0.0,1.0,2,9,0,1,0,0.000000
58,10,5,1,5.0,1.0,1.0,2,10,0,1,1,0.415037
59,8,4,0,2.0,0.0,1.0,2,10,0,2,0,0.000000
60,8,5,1,3.0,0.0,1.0,2,10,0,2,0,0.000000
61,9,5,1,3.0,0.0,1.0,0,18,0,11,1,0.415037
62,7,4,0,3.0,0.0,1.0,1,9,0,1,0,0.000000
63,6,4,0,1.0,0.0,1.0,0,12,0,4,0,0.000000
64,8,5,0,3.0,0.0,1.0,0,18,0,4,0,0.000000
65,6,3,0,1.0,0.0,1.0,0,6,0,5,0,0.000000
66,8,4,0,3.0,0.0,1.0,2,10,0,2,0,0.000000
67,8,5,1,2.0,0.0,1.0,1,18,0,6,0,0.000000
68,8,4,0,3.0,0.0,1.0,2,10,0,2,0,0.000000
69,7,4,0,3.0,0.0,1.0,1,10,0,1,0,0.000000
70,7,4,0,3.0,0.0,1.0,1,8,0,1,0,0.000000
71,9,4,0,3.0,0.0,1.0,2,12,0,1,0,0.000000
72,6,4,0,1.0,0.0,1.0,0,12,0,9,0,0.000000
73,8,4,0,3.0,0.0,1.0,1,9,0,1,0,0.000000
74,6,3,0,2.0,0.0,1.0,2,8,0,2,0,0.000000
75,10,5,1,4.0,0.0,1.0,2,14,0,3,1,0.415037
76,9,5,1,4.0,0.0,1.0,0,12,0,4,0,0.000000
77,10,4,0,4.0,0.0,1.0,1,12,0,1,0,0.000000
78,8,3,0,4.0,0.0,1.0,1,8,0,1,0,0.000000
79,8,5,1,3.0,0.0,1.0,1,12,0,1,0,0.000000
80,8,3,0,3.0,0.0,1.0,1,9,0,1,0,0.000000
81,5,2,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
82,9,4,0,3.0,0.0,1.0,2,11,0,1,0,0.000000
83,8,3,0,3.0,0.0,1.0,0,7,0,4,0,0.000000
84,6,3,0,0.0,0.0,0.0,1,8,0,7,0,0.000000
85,9,4,0,3.0,0.0,1.0,2,12,0,2,0,0.000000
86,10,4,0,3.0,0.0,1.0,1,12,0,4,0,0.000000
87,8,4,0,3.0,0.0,1.0,1,10,0,3,0,0.000000
88,7,3,0,3.0,0.0,1.0,0,7,0,4,0,0.000000
89,9,5,1,3.0,0.0,1.0,2,14,0,3,0,0.000000
90,7,4,0,3.0,0.0,1.0,1,10,0,1,0,0.000000
91,8,4,0,3.0,0.0,1.0,1,8,0,3,0,0.000000
92,10,5,1,3.0,0.0,1.0,2,16,0,4,1,0.415037
93,9,3,0,3.0,0.0,1.0,1,7,0,2,0,0.000000
94,6,2,0,2.0,0.0,1.0,1,7,0,1,0,0.000000
95,8,5,1,2.0,0.0,1.0,1,18,0,5,1,0.830075
96,8,4,0,2.0,0.0,1.0,1,12,0,1,0,0.000000
97,5,1,0,2.0,0.0,1.0,1,5,0,1,0,0.000000
98,7,4,0,1.0,0.0,1.0,2,12,0,2,0,0.000000
99,9,5,1,3.0,0.0,1.0,1,20,0,4,1,0.415037
100,7,4,0,3.0,0.0,1.0,1,10,0,1,0,0.000000
101,5,2,0,1.0,0.0,1.0,2,6,0,2,0,0.000000
102,6,3,0,3.0,0.0,1.0,1,6,0,1,0,0.000000
103,7,5,0,2.0,0.0,1.0,0,16,0,4,0,0.000000
104,7,4,0,3.0,0.0,1.0,0,14,0,6,0,0.000000
105,8,5,1,3.0,0.0,1.0,0,12,0,5,0,0.000000
106,5,4,0,1.0,0.0,1.0,1,16,0,1,0,0.000000
107,7,3,0,3.0,0.0,1.0,1,10,0,2,0,0.000000
108,8,4,0,3.0,0.0,1.0,1,11,0,1,0,0.000000
109,8,5,1,2.0,0.0,1.0,1,16,0,6,1,0.415037
110,7,3,0,2.0,0.0,1.0,2,9,0,1,0,0.000000
111,9,5,1,2.0,0.0,1.0,2,18,0,3,1,1.000000
112,8,5,1,3.0,0.0,1.0,2,12,0,3,0,0.000000
113,7,2,0,3.0,0.0,1.0,1,5,0,1,0,0.000000
114,7,4,0,3.0,0.0,1.0,1,14,0,1,0,0.000000
115,9,4,0,3.0,0.0,1.0,0,12,0,4,0,0.000000
116,7,3,0,2.0,0.0,1.0,1,8,0,3,0,0.000000
117,7,3,0,3.0,0.0,1.0,2,8,0,1,0,0.000000
118,10,5,1,4.0,0.0,1.0,1,16,0,1,1,0.830075
119,7,2,0,3.0,0.0,1.0,0,6,0,4,0,0.000000
120,7,4,0,1.0,0.0,1.0,1,12,0,7,0,0.000000
121,8,3,0,4.0,0.0,1.0,1,6,0,1,0,0.000000
122,8,4,0,2.0,0.0,1.0,2,12,0,3,0,0.000000
123,8,3,0,4.0,0.0,1.0,1,9,0,1,0,0.000000
124,7,3,0,2.0,0.0,1.0,2,8,0,3,0,0.000000
125,10,4,0,5.0,1.0,1.0,2,9,0,2,0,0.000000
126,10,5,1,3.0,0.0,1.0,2,16,0,7,1,0.415037
127,9,4,0,3.0,0.0,1.0,1,12,0,1,0,0.000000
128,7,5,1,2.0,0.0,1.0,3,20,0,3,0,0.000000
129,8,4,0,3.0,0.0,1.0,0,10,0,5,0,0.000000
130,7,4,0,2.0,0.0,1.0,1,10,0,1,0,0.000000
131,10,5,1,5.0,1.0,1.0,0,13,0,7,1,0.830075
132,7,4,0,1.0,0.0,1.0,2,16,0,4,0,0.000000
133,7,3,0,3.0,0.0,1.0,1,6,0,1,0,0.000000
134,7,3,0,1.0,0.0,1.0,2,8,0,2,0,0.000000
135,8,3,0,4.0,0.0,1.0,0,8,0,4,0,0.000000
136,5,2,0,2.0,0.0,1.0,1,6,0,1,0,0.000000
137,7,4,0,1.0,0.0,1.0,0,12,0,9,0,0.000000
138,9,4,0,4.0,0.0,1.0,1,8,0,1,0,0.000000
139,10,4,0,5.0,1.0,1.0,1,7,0,1,0,0.000000
140,9,4,0,3.0,0.0,1.0,0,10,0,3,0,0.000000
141,8,4,0,3.0,0.0,1.0,1,10,0,3,0,0.000000
142,7,4,0,0.0,0.0,0.0,2,8,0,2,0,0.000000
143,8,3,0,3.0,0.0,1.0,2,8,0,2,0,0.000000
144,8,4,0,2.0,0.0,1.0,1,14,0,1,0,0.000000
145,10,5,1,4.0,0.0,1.0,2,13,0,3,0,0.000000
146,2,0,0,1.0,0.0,1.0,1,2,0,1,0,0.000000
147,7,3,0,3.0,0.0,1.0,1,7,0,1,0,0.000000
148,10,5,1,4.0,0.0,1.0,1,14,0,3,1,0.830075
149,8,4,0,3.0,0.0,1.0,2,9,0,1,0,0.000000
150,8,4,0,2.0,0.0,1.0,1,10,0,2,0,0.000000
151,9,4,0,4.0,0.0,1.0,0,10,0,5,0,0.000000
