idx,n,density,noise,ergodic,psi,i,log2_kappa,H_pi,h_pi,phi_mean,phi_max,phi_wms,stochastic_interaction,total_correlation,causal_density,integrated_synergy,tdmi
54,3,0.5,0.0,0,1.938721875540867,1.061278124459133,3.0,1.061278124459133,0.0,0.0,0.0,-0.5435644431995963,0.0,0.5694152051396562,0.0,-0.5435644431995963,1.061278124459133
55,3,0.5,0.0,0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0000000000413056,0.0,-1.0,1.0
56,3,0.5,0.0,0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,-1.0,1.0
57,3,0.5,0.0,0,1.188721875540867,1.811278124459133,3.0,1.811278124459133,0.0,0.5,2.0,0.0,2.8112781243352165,0.8112781244591329,0.603759374819711,-0.8112781244591328,1.8112781244591327
58,3,0.5,0.0,0,1.5943609377704335,1.4056390622295665,3.0,1.4056390622295665,0.0,0.0,0.0,-1.0,2.5849394142282115e-26,1.13792538097003,0.0,-1.0,1.4056390622295662
59,3,0.5,0.0,0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,-0.12255624891826566,1.6887218754685822,0.8112781244591329,0.396240625180289,-0.8112781244591329,2.0
60,3,0.5,0.05,1,2.220446049250313e-16,2.1408091286521316,3.859190871347869,3.0,0.8591908713478686,0.0,0.0,2.220446049250313e-16,1.427206085768088,0.0,0.23786768096134794,0.0,2.1408091286521316
61,3,0.5,0.05,1,0.9292475566673923,1.2115615719847388,3.859190871347869,2.0707524433326077,0.8591908713478689,0.0,0.0,0.11100142244064681,0.8898796008428161,0.9292475566673923,0.07362476613660303,-0.23309082728717923,1.2115615719847388
62,3,0.5,0.05,1,0.8340048591585062,1.3068042694936257,3.859190871347869,2.165995140841494,0.8591908713478685,0.19167645847619266,1.5334116678095413,0.27860339961200997,1.7457841374176177,0.4389798679239907,0.3427336232938865,-0.3106176023456999,1.3068042694936688
63,3,0.5,0.05,1,1.4866035236632835,0.6542056049888484,3.859190871347869,1.513396476336717,0.8591908713478685,0.0,0.0,0.1432196857118726,0.6509920972744055,0.14307989441312063,0.12892813480016138,-0.10568656040174407,0.6542056049901516
64,3,0.5,0.05,1,0.5522763707488612,1.5885327579032704,3.859190871347869,2.447723629251139,0.8591908713478686,0.0,0.0,0.00894448907971046,0.07555187677469721,0.05195129903810214,0.01231675301595328,-0.0341481446436418,1.5885327579034865
65,3,0.5,0.05,1,1.0578279692716959,1.0829811593804362,3.859190871347869,1.9421720307283046,0.8591908713478685,0.0,0.0,-3.3306690738754696e-16,0.3019669480767445,0.0597285105664116,0.050327824679457546,-0.04627188894978411,1.082981159381823
66,3,0.5,0.05,1,0.5470574518127169,1.5937516768394147,3.859190871347869,2.4529425481872833,0.8591908713478686,0.0,0.0,-0.15544842968908723,0.5718686612378571,0.5470574518127167,0.047655721769821406,-0.4524489231484119,1.5937516768394147
67,3,0.5,0.05,1,1.0578279692716959,1.0829811593804362,3.859190871347869,1.9421720307283046,0.8591908713478685,0.0,0.0,0.3321276208379188,0.6701458204152104,0.05972851056641182,0.07940290735238202,0.031944456706982094,1.082981159381823
