idx,n,density,noise,ergodic,psi,i,log2_kappa,H_pi,h_pi,phi_psi,phi_mean,phi_max,phi_piw,gates,phi_wms,stochastic_interaction,total_correlation,causal_density,integrated_synergy,tdmi
0,3,0.3,0.0,0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,parity|and|copy,2.0,2.999999999876084,0.0,0.5,0.0,3.0
1,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,-1.3219280948873537,0.0,0.0,0.0,parity|copy|and,-1.0,0.0,1.0,0.0,-1.0,2.0
2,3,0.3,0.0,0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,copy|parity|parity,0.0,0.0,0.0,0.0,0.0,3.0
3,3,0.3,0.0,0,0.5,2.5,3.0,2.5,0.0,-0.7223924213364465,0.0,0.0,0.0,parity|parity|and,-0.31127812445913283,0.0,0.31127812445913294,0.0,-0.31127812445913283,2.5
4,3,0.3,0.0,0,2.0,1.0,3.0,1.0,0.0,-0.32192809488735374,0.0,0.0,0.0,copy|copy|and,-1.0,0.0,2.0,0.0,-1.0,1.0
5,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,-1.3219280948873537,0.0,0.0,0.0,or|or|and,-1.0,0.0,1.0,0.0,-1.0,2.0
6,3,0.3,0.0,0,0.8443609377704338,2.1556390622295662,3.0,2.1556390622295662,0.0,-0.23020785648730102,0.4025062498798073,2.0,0.3018796874098555,majority|and|parity,0.48428787261590234,2.6524101184852866,0.7532289436203641,0.6184098832413287,-0.75,2.1556390622295662
7,3,0.3,0.0,0,2.0,1.0,3.0,1.0,0.0,-0.32192809488735374,0.0,0.0,0.0,and|and|copy,-1.0,0.0,2.0,0.0,-1.0,1.0
8,3,0.3,0.0,0,2.0,1.0,3.0,1.0,0.0,-0.32192809488735374,0.0,0.0,0.0,or|majority|or,-1.0,0.0,2.0,0.0,-1.0,1.0
9,3,0.3,0.0,0,2.0,1.0,3.0,1.0,0.0,-0.32192809488735374,0.0,0.0,0.0,and|parity|parity,-1.0,0.0,2.0,0.0,-1.0,1.0
10,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,-1.3219280948873537,0.0,0.0,0.0,copy|copy|or,-1.0,0.0,1.0,0.0,-1.0,2.0
11,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,-0.5849625007211507,0.0,0.0,0.0,and|or|majority,0.0,2.999999999876084,1.0,0.6666666666666666,-1.0,2.0
12,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,-0.5849625007211507,0.0,0.0,0.0,majority|copy|or,0.0,2.999999999876084,1.0,0.6666666666666666,-1.0,2.0
13,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,-0.5849625007211507,0.0,0.0,0.0,and|copy|or,0.0,2.999999999876084,1.0,0.6666666666666666,-1.0,2.0
14,3,0.3,0.0,0,1.0,2.0,3.0,2.0,0.0,-1.3219280948873537,0.0,0.0,0.0,parity|or|majority,-1.0,0.0,1.0,0.0,-1.0,2.0
15,3,0.3,0.05,1,2.220446049250313e-16,2.1408091286521316,3.859190871347869,3.0,0.8591908713478686,0.0,0.0,0.0,0.0,copy|and|parity,0.0,1.427206085768088,0.0,0.23786768096134792,1.1102230246251565e-16,2.1408091286521316
16,3,0.3,0.05,1,0.8340048591585062,1.3068042694936257,3.859190871347869,2.165995140841494,0.8591908713478685,-1.1102230246251565e-16,0.19167645847619266,1.5334116678095413,0.10542205216192219,or|majority|copy,0.27860339961200997,1.7457841374176177,0.4389798679239907,0.3427336232938865,-0.3106176023456999,1.3068042694936688
17,3,0.3,0.05,1,0.5470574518127169,1.5937516768394147,3.859190871347869,2.4529425481872833,0.8591908713478686,0.0,0.0,0.0,0.0,majority|and|copy,-0.26112312119378833,0.2859343306189286,0.5470574518127167,0.047655721769821434,-0.4885396118317419,1.5937516768394144
18,3,0.3,0.05,1,0.5470574518127169,1.5937516768394147,3.859190871347869,2.4529425481872833,0.8591908713478686,2.220446049250313e-16,0.0,0.0,0.0,copy|copy|or,0.16654559107132672,2.140809128652131,0.5470574518127167,0.4280796401528742,-0.42766871226511505,1.5937516768394144
19,3,0.3,0.05,1,0.5470574518127169,1.5937516768394147,3.859190871347869,2.4529425481872833,0.8591908713478686,2.220446049250313e-16,0.0,0.0,0.0,and|parity|copy,0.16654559107132672,2.140809128652131,0.5470574518127167,0.4280796401528743,-0.42766871226511494,1.5937516768394144
20,3,0.3,0.05,1,0.5470574518127169,1.5937516768394147,3.859190871347869,2.4529425481872833,0.8591908713478686,2.220446049250313e-16,0.0,0.0,0.0,and|or|and,0.16654559107132672,2.140809128652131,0.5470574518127167,0.4280796401528743,-0.42766871226511494,1.5937516768394144
21,3,0.3,0.05,1,0.9292475566673923,1.2115615719847388,3.859190871347869,2.0707524433326077,0.8591908713478689,0.3821901048546753,0.0,0.0,0.0,or|or|copy,-0.3339383779807612,0.7308741310403369,0.9292475566673923,0.15780626002787249,-0.5730814362691491,1.2115615719847388
22,3,0.3,0.05,1,0.5470574518127169,1.5937516768394147,3.859190871347869,2.4529425481872833,0.8591908713478686,-5.551115123125783e-17,0.0,0.0,0.0,majority|and|copy,-0.26112312119378833,0.2859343306189279,0.5470574518127167,0.04765572176982145,-0.488539611831742,1.5937516768394144
23,3,0.3,0.05,1,0.9292475566673924,1.2115615719847388,3.859190871347869,2.0707524433326077,0.8591908713478688,0.3821901048546755,0.0,0.0,0.0,parity|and|parity,-0.3339383779807614,0.7308741310403369,0.9292475566673923,0.15780626002787243,-0.5730814362691492,1.2115615719847388
24,3,0.3,0.05,1,0.5470574518127169,1.5937516768394147,3.859190871347869,2.4529425481872833,0.8591908713478686,2.220446049250313e-16,0.0,0.0,0.0,majority|majority|and,0.16654559107132672,2.140809128652131,0.5470574518127167,0.4280796401528743,-0.42766871226511494,1.5937516768394144
25,3,0.3,0.05,1,0.5586598289967661,1.5821492996553654,3.859190871347869,2.441340171003234,0.8591908713478686,0.23671035832965126,0.0,0.0,0.0,majority|majority|or,-0.14987508562834595,0.2573329216630358,0.4072080072913815,0.030555518816462072,-0.36129483686941644,1.5821492996553654
26,3,0.3,0.05,1,0.9292475566673924,1.2115615719847388,3.859190871347869,2.0707524433326077,0.8591908713478688,0.3821901048546755,0.0,0.0,0.0,or|copy|parity,-0.3339383779807614,0.7308741310403367,0.9292475566673923,0.15780626002787246,-0.5730814362691494,1.2115615719847388
27,3,0.3,0.05,1,2.220446049250313e-16,2.1408091286521316,3.859190871347869,3.0,0.8591908713478686,-2.220446049250313e-16,0.0,0.0,0.0,parity|copy|majority,2.220446049250313e-16,1.427206085768088,0.0,0.23786768096134792,2.220446049250313e-16,2.1408091286521316
