label,triadic,phi_exact,EI,CE,O_info,phi_AR,phi_R
W2_S8_C0,0,0.0,1.811278,0.107018,-1.2e-05,0.17475,0.1315
W2_S9_C0,0,0.0,2.0,0.0,-0.000434,0.000682,0.001139
W2_S10_C0,0,0.0,2.0,0.0,-0.00015,0.00053,0.003278
W2_S11_C0,0,0.0,1.811278,0.107018,-0.000247,0.146487,0.001418
W2_S12_C0,0,0.0,2.0,0.0,-1e-06,0.245796,0.196335
W2_S13_C0,0,0.0,1.811278,0.188722,-1.4e-05,0.047809,0.033157
W2_S14_C0,0,0.0,1.811278,0.188722,-0.001013,0.071718,0.047421
W2_S15_C0,0,0.0,1.0,0.0,-0.000337,0.001015,0.001112
W2_S0_C1,0,0.0,1.0,0.0,-0.000263,0.246128,0.102437
W2_S1_C1,0,0.0,1.811278,0.107018,-0.00024,0.499841,0.294525
W2_S2_C1,1,2.0,1.811278,0.188722,-1.8e-05,0.694801,0.00059
W2_S3_C1,0,0.0,2.0,0.0,-0.00014,0.645864,0.001581
W2_S4_C1,1,2.0,1.811278,0.188722,-0.000503,0.581028,0.237477
W2_S5_C1,0,0.0,2.0,0.0,0.001455,0.629946,0.001579
W2_S6_C1,1,0.5,2.0,0.0,-0.000295,0.461948,0.27107
W2_S7_C1,0,0.0,1.811278,0.107018,-4e-06,0.485931,0.266132
W2_S8_C1,0,0.0,1.811278,0.107018,0.001065,0.452728,0.161388
W2_S9_C1,1,0.5,2.0,0.0,-0.00025,0.430055,0.284085
W2_S10_C1,0,0.0,2.0,0.0,-4.7e-05,0.585873,0.001948
W2_S11_C1,1,2.0,1.811278,0.188722,-0.000883,0.705111,0.000513
W2_S12_C1,0,0.0,2.0,0.0,0.006491,0.633852,0.001747
W2_S13_C1,1,2.0,1.811278,0.188722,-0.000532,0.655834,0.220025
W2_S14_C1,0,0.0,1.811278,0.107018,-6.2e-05,0.45836,0.199661
W2_S15_C1,0,0.0,1.0,0.0,-0.000432,0.231858,0.007542
W2_S0_C2,0,0.0,1.0,0.0,-4e-06,0.266943,0.002692
W2_S1_C2,1,2.0,1.811278,0.188722,0.000261,0.621123,0.002322
W2_S2_C2,0,0.0,1.811278,0.107018,0.000296,0.461067,0.001812
W2_S3_C2,0,0.0,2.0,0.0,0.001419,0.622814,0.000759
W2_S4_C2,0,0.0,1.811278,0.107018,0.000407,0.467826,0.002981
W2_S5_C2,0,0.0,2.0,0.0,1.2e-05,0.62245,0.00168
W2_S6_C2,1,0.5,2.0,0.0,-0.000467,0.472542,-0.00065
W2_S7_C2,1,2.0,1.811278,0.188722,-0.000457,0.618678,0.007618
W2_S8_C2,1,2.0,1.811278,0.188722,-0.000158,0.695172,0.001141
W2_S9_C2,1,0.5,2.0,0.0,-0.000227,0.456894,0.001139
W2_S10_C2,0,0.0,2.0,0.0,-0.000278,0.54849,0.005346
W2_S11_C2,0,0.0,1.811278,0.107018,-2.3e-05,0.440632,0.001148
W2_S12_C2,0,0.0,2.0,0.0,-0.000286,0.60251,0.001136
W2_S13_C2,0,0.0,1.811278,0.107018,-0.000189,0.389669,0.002403
W2_S14_C2,1,2.0,1.811278,0.188722,-0.000185,0.679516,0.007916
W2_S15_C2,0,0.0,1.0,0.0,-0.00055,0.278608,-0.000153
W2_S0_C3,0,0.0,1.0,0.0,-0.00011,0.001138,0.001358
W2_S1_C3,0,0.0,1.811278,0.107018,-2e-06,0.003246,0.001369
W2_S2_C3,0,0.0,1.811278,0.107018,-3e-06,0.169928,0.000669
W2_S3_C3,0,0.0,2.0,0.0,-0.000462,0.282399,0.001332
W2_S4_C3,0,0.0,1.811278,0.188722,-7e-06,0.046521,0.025696
W2_S5_C3,0,0.0,2.0,0.0,-0.000102,0.000489,0.001068
W2_S6_C3,0,0.0,2.0,0.0,-1e-05,0.000934,0.000624
W2_S7_C3,0,0.0,1.811278,0.188722,-9.7e-05,0.044361,0.030561
W2_S8_C3,0,0.0,1.811278,0.188722,-0.000236,0.055021,0.044084
W2_S9_C3,0,0.0,2.0,0.0,-2.6e-05,0.000551,0.002214
W2_S10_C3,0,0.0,2.0,0.0,-3.6e-05,0.000901,0.001634
W2_S11_C3,0,0.0,1.811278,0.188722,-4.5e-05,0.064668,0.041312
W2_S12_C3,0,0.0,2.0,0.0,-3e-06,0.27684,0.207596
W2_S13_C3,0,0.0,1.811278,0.107018,-1e-06,0.005826,0.006857
W2_S14_C3,0,0.0,1.811278,0.107018,-0.000154,0.186662,0.12914
W2_S15_C3,0,0.0,1.0,0.0,-0.000186,0.000281,0.001119
W3_S0_C0,0,0.0,0.0,0.0,-4e-06,0.000362,0.000538
W3_S1_C0,0,0.0,0.811278,0.188722,-0.00017,0.001466,0.003216
W3_S2_C0,0,0.0,0.811278,0.188722,-8.6e-05,0.244664,0.131018
W3_S3_C0,0,0.0,1.0,0.0,-1e-06,0.000908,0.002422
W3_S4_C0,0,0.0,0.811278,0.188722,-0.000223,0.005032,0.005471
W3_S5_C0,0,0.0,1.0,0.0,-0.000368,0.000337,0.003707
W3_S6_C0,0,0.0,1.0,0.0,-0.000471,0.137263,0.105362
W3_S7_C0,0,0.0,0.811278,0.188722,-0.000483,0.002823,0.002239
W3_S8_C0,0,0.0,0.811278,0.188722,-6.7e-05,0.002992,0.007063
W3_S9_C0,0,0.0,1.0,0.0,-1e-05,0.120461,0.119274
W3_S10_C0,0,0.0,1.0,0.0,-0.000284,0.000487,0.001545
W3_S11_C0,0,0.0,0.811278,0.188722,-0.000121,0.001979,0.001163
W3_S12_C0,0,0.0,1.0,0.0,-3.9e-05,0.000925,0.001915
