form,party,influence,in_core
87,W,0.75,True
87,C1,0.25,False
87,C2,0.25,False
88,W,0.75,True
88,C1,0.25,False
88,C2,0.75,True
89,W,1.0,True
89,C1,0.5,False
89,C2,0.5,False
90,W,1.0,True
90,C1,0.0,False
90,C2,1.0,True
91,W,0.75,True
91,C1,0.25,False
91,C2,0.75,True
92,W,0.5,False
92,C1,0.5,True
92,C2,0.5,False
93,W,0.75,True
93,C1,0.25,False
93,C2,0.25,False
94,W,0.75,True
94,C1,0.25,False
94,C2,0.75,True
95,W,0.5,True
95,C1,0.0,False
95,C2,0.5,True
96,W,0.5,True
96,C1,0.5,True
96,C2,0.5,False
97,W,0.75,True
97,C1,0.75,True
97,C2,0.75,True
98,W,0.75,True
98,C1,0.75,True
98,C2,0.25,False
99,W,0.5,False
99,C1,1.0,True
99,C2,0.5,False
100,W,0.75,True
100,C1,0.75,True
100,C2,0.25,False
101,W,1.0,True
101,C1,0.5,False
101,C2,0.5,False
102,W,1.0,True
102,C1,1.0,True
102,C2,0.0,False
103,W,0.75,True
103,C1,0.75,True
103,C2,0.25,False
104,W,0.75,True
104,C1,0.75,True
104,C2,0.75,True
105,W,1.0,True
105,C1,1.0,True
105,C2,1.0,True
106,W,1.0,True
106,C1,0.5,False
106,C2,0.5,False
107,W,0.75,True
107,C1,0.75,True
107,C2,0.75,True
108,W,0.5,False
108,C1,1.0,True
108,C2,0.5,False
109,W,0.75,True
109,C1,0.75,True
109,C2,0.75,True
110,W,0.75,True
110,C1,0.75,True
110,C2,0.25,False
111,W,0.5,False
111,C1,0.5,False
111,C2,0.5,True
112,W,0.25,False
112,C1,0.25,False
112,C2,0.75,True
113,W,0.5,False
113,C1,0.5,True
113,C2,0.5,False
114,W,0.5,False
114,C1,0.5,False
114,C2,0.5,True
115,W,0.25,False
115,C1,0.75,True
115,C2,0.25,False
116,W,0.5,False
116,C1,0.5,False
116,C2,0.5,True
117,W,0.75,True
117,C1,0.25,False
117,C2,0.25,False
118,W,0.75,True
118,C1,0.75,True
118,C2,0.25,False
119,W,0.5,True
119,C1,0.5,True
119,C2,0.0,False
120,W,0.5,False
120,C1,0.5,False
120,C2,1.0,True
121,W,0.75,True
121,C1,0.75,True
121,C2,0.75,True
122,W,0.75,True
122,C1,0.25,False
122,C2,0.75,True
123,W,0.5,False
123,C1,0.5,True
123,C2,0.5,False
124,W,0.25,False
124,C1,0.75,True
124,C2,0.75,True
