ensemble,n,N,triadic_rate,phi_mean,phi_median,phi_min,phi_max,on_landmark,mean_clustering,mean_degree,seconds
ER_p0.4,5,20,0.45,2.4,2.0,2.0,6.0,1.0,0.5666666666666667,3.54,95.09
fixed_k2,5,20,0.85,2.1,2.0,2.0,4.0,1.0,0.6983333333333334,4.0,167.57
fixed_k3,5,16,1.0,6.0,6.0,5.0,9.0,0.75,0.9416666666666667,6.0,100.16
WS_p0.3,5,20,0.95,2.2,2.0,2.0,4.0,1.0,0.5349999999999999,4.0,171.45
BA_m2,5,16,0.0,6.0,6.0,6.0,6.0,1.0,0.7395833333333333,4.0,2.12
