label,s_index,edge_count,max_phi
W1_S6_C1,6,4,0.500000
W1_S9_C1,9,4,0.500000
W1_S6_C2,6,4,0.500000
W1_S9_C2,9,4,0.500000
W2_S6_C1,6,4,0.500000
W2_S9_C1,9,4,0.500000
W2_S6_C2,6,4,0.500000
W2_S9_C2,9,4,0.500000
