number,author,state,created,merged_at,merged_by
34153,ogrisel,merged,2026-05-29,2026-05-29,jeremiedbb
34155,jeremiedbb,merged,2026-05-29,2026-06-11,glemaitre
34157,lorentzenchr,merged,2026-05-31,2026-06-20,virchan
34158,SinhSinhAn,merged,2026-06-01,2026-06-03,jeremiedbb
34159,scikit-learn-bot,merged,2026-06-01,2026-06-01,ogrisel
34160,scikit-learn-bot,merged,2026-06-01,2026-06-01,ogrisel
34161,scikit-learn-bot,merged,2026-06-01,2026-06-01,ogrisel
34162,scikit-learn-bot,merged,2026-06-01,2026-06-02,ogrisel
34168,heyyveer,merged,2026-06-01,2026-06-03,jeremiedbb
34173,jeremiedbb,merged,2026-06-01,2026-06-02,jeremiedbb
34174,jeremiedbb,merged,2026-06-01,2026-06-02,lucyleeow
34179,StefanieSenger,merged,2026-06-02,2026-06-10,adrinjalali
34181,jeremiedbb,merged,2026-06-02,2026-06-02,jeremiedbb
34182,jeremiedbb,merged,2026-06-02,2026-06-03,betatim
34183,cakedev0,merged,2026-06-02,2026-06-17,lorentzenchr
34187,itamarst,merged,2026-06-02,2026-06-09,thomasjpfan
34188,StefanieSenger,merged,2026-06-03,2026-06-03,adrinjalali
34192,EdenRochmanSharabi,merged,2026-06-03,2026-06-05,ArturoAmorQ
34201,StefanieSenger,merged,2026-06-05,2026-06-08,adrinjalali
34205,StefanieSenger,merged,2026-06-07,2026-06-09,ogrisel
34207,scikit-learn-bot,merged,2026-06-08,2026-06-08,jeremiedbb
34208,scikit-learn-bot,merged,2026-06-08,2026-06-08,jeremiedbb
34209,scikit-learn-bot,merged,2026-06-08,2026-06-08,jeremiedbb
34210,scikit-learn-bot,merged,2026-06-08,2026-06-08,jeremiedbb
34211,jeremiedbb,merged,2026-06-08,2026-06-09,virchan
34213,GaetandeCast,merged,2026-06-08,2026-06-08,StefanieSenger
34214,glemaitre,merged,2026-06-08,2026-06-11,GaelVaroquaux
34216,TheHashiramaSenju,merged,2026-06-08,2026-06-08,StefanieSenger
34223,vashita-pandey,merged,2026-06-09,2026-06-10,ArturoAmorQ
34224,StefanieSenger,merged,2026-06-09,2026-06-09,OmarManzoor
34229,jeremiedbb,merged,2026-06-09,2026-06-09,virchan
34231,lucascolley,merged,2026-06-09,2026-06-11,virchan
34236,StefanieSenger,merged,2026-06-10,2026-06-12,adrinjalali
34237,glemaitre,merged,2026-06-10,2026-06-11,adrinjalali
34241,jeremiedbb,merged,2026-06-10,2026-06-10,virchan
34245,jeremiedbb,merged,2026-06-11,2026-06-12,ogrisel
34247,glemaitre,merged,2026-06-11,2026-06-12,thomasjpfan
34250,glemaitre,merged,2026-06-11,2026-06-11,betatim
34251,lisaleemcb,merged,2026-06-11,2026-06-11,thomasjpfan
34255,thomasjpfan,merged,2026-06-11,2026-06-13,adrinjalali
34256,jakevdp,merged,2026-06-11,2026-06-12,ogrisel
34262,rth,merged,2026-06-12,2026-06-12,ogrisel
34263,jeremiedbb,merged,2026-06-12,2026-06-12,ogrisel
34265,rth,merged,2026-06-12,2026-06-12,thomasjpfan
34269,rth,merged,2026-06-12,2026-06-12,ogrisel
34271,glemaitre,merged,2026-06-12,2026-06-12,jeremiedbb
34285,lorentzenchr,merged,2026-06-13,2026-06-19,OmarManzoor
34287,lorentzenchr,merged,2026-06-13,2026-06-17,OmarManzoor
34288,lorentzenchr,merged,2026-06-13,2026-06-18,OmarManzoor
34294,scikit-learn-bot,merged,2026-06-15,2026-06-16,ogrisel
34295,scikit-learn-bot,merged,2026-06-15,2026-06-18,ogrisel
34296,scikit-learn-bot,merged,2026-06-15,2026-06-16,ogrisel
34297,scikit-learn-bot,merged,2026-06-15,2026-06-16,ogrisel
34300,MarcoGorelli,merged,2026-06-15,2026-06-16,virchan
34321,OmarManzoor,merged,2026-06-17,2026-06-18,lorentzenchr
34323,AnneBeyer,merged,2026-06-17,2026-06-18,lorentzenchr
34331,MarcoGorelli,merged,2026-06-18,2026-06-18,ogrisel
34336,lorentzenchr,merged,2026-06-19,2026-06-19,OmarManzoor
34346,lorentzenchr,merged,2026-06-20,2026-06-20,virchan
