proxy,spearman,pearson,auc_phi_positive
total_correlation,-0.35487818065518933,-0.13565895682382487,0.27847923681257014
stochastic_interaction,0.13472438226314093,0.2202489737658453,0.5752665544332211
lz_complexity,0.1288892515522495,-0.04411187445945175,0.5686377665544332
mean_abs_corr,-0.06993318197502522,-0.005018622044549511,0.4463383838383838
n_edges,0.29461554493738473,-0.08565331640968495,0.6383978675645342
