idx,n,density,noise,n_edges,gates,phi_mean,phi_max,n_states_evaluated,total_correlation,stochastic_interaction,lz_complexity,mean_abs_corr,n_edges
30,3,0.3,0.2,5.0,majority|copy|and,0.0,0.0,8,0.09840502666035889,0.3259044289384896,0.8792288987819369,0.14506672315207772,5.0
31,3,0.3,0.2,5.0,parity|majority|copy,0.6943456308353413,0.6943456308353413,8,0.0,0.8342157153379128,0.9003303923527033,0.019267405417726355,5.0
32,3,0.3,0.2,3.0,parity|copy|parity,0.0,0.0,8,0.0,0.5561438102252749,0.8862627299721924,0.050329881340600964,3.0
33,3,0.3,0.2,3.0,majority|copy|and,0.0,0.0,8,0.09561854227550626,0.24415000270786358,0.8440597428306594,0.15477823130446372,3.0
34,3,0.3,0.2,3.0,or|copy|parity,0.0,0.0,8,0.09561854227550626,0.24415000270786313,0.8510935740209149,0.1410359833064324,3.0
35,3,0.3,0.2,3.0,copy|parity|majority,0.0,0.0,8,0.11354546070873628,0.5178557889403135,0.9073642235429589,0.18707008806375688,3.0
36,3,0.3,0.2,3.0,and|majority|and,0.6943456308353413,0.6943456308353413,8,0.0,0.8342157153379124,0.8370259116404039,0.01865821436731223,3.0
37,3,0.3,0.2,4.0,and|majority|copy,0.0,0.0,8,0.09561854227550626,0.8342157153379128,0.8581274052111704,0.1688893039095726,4.0
38,3,0.3,0.2,3.0,majority|and|majority,0.0,0.0,8,0.09561854227550626,0.8342157153379128,0.9214318859234698,0.1450564839266363,3.0
39,3,0.3,0.2,3.0,parity|or|or,0.0,0.0,8,0.09561854227550626,0.24415000270786313,0.8370259116404039,0.1582668208136983,3.0
40,3,0.3,0.2,4.0,majority|and|and,0.0,0.0,8,0.020061634403241158,0.3028970017861452,0.8159244180696374,0.10545994500898444,4.0
41,3,0.3,0.2,4.0,parity|majority|and,0.0,0.0,8,0.05915788188950177,0.19519688019576797,0.8370259116404039,0.14058568376325717,4.0
42,3,0.3,0.2,3.0,and|and|parity,0.0,0.0,8,0.09561854227550626,0.24415000270786313,0.8932965611624478,0.125602641651247,3.0
43,3,0.3,0.2,3.0,and|and|or,0.0,0.0,8,0.11354546070873628,0.5178557889403135,0.8440597428306594,0.23345013993528715,3.0
44,3,0.3,0.2,5.0,parity|copy|majority,0.0,0.0,8,0.008999902399620119,0.6345780042615172,0.8159244180696374,0.10930551854368553,5.0
45,3,0.5,0.0,4.0,and|or|copy,0.0,0.0,4,1.0,2.999999999876084,0.028135324761021978,1.0,4.0
