idx,n_edges,n_bidir,strongly_connected,syn_sum,syn_min,syn_max,n_fixed,n_reachable,invertible,max_period,triadic,max_phi
1257,4,2,0,1.0,0.0,1.0,0,4,0,4,0,0.000000
1258,2,0,0,0.0,0.0,0.0,1,2,0,1,0,0.000000
1259,6,4,1,0.5,0.0,0.5,0,4,0,4,0,0.000000
1260,3,1,0,0.0,0.0,0.0,1,4,0,1,0,0.000000
1261,0,0,0,0.0,0.0,0.0,1,1,0,1,0,0.000000
1262,3,0,0,0.5,0.0,0.5,1,2,0,1,0,0.000000
1263,4,2,0,0.5,0.0,0.5,2,4,0,2,0,0.000000
1264,5,3,0,1.0,0.0,1.0,2,4,0,2,0,0.000000
1265,4,2,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1266,4,2,0,0.0,0.0,0.0,0,4,0,4,0,0.000000
1267,4,2,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1268,5,3,0,0.5,0.0,0.5,0,4,0,4,0,0.000000
1269,5,3,0,0.0,0.0,0.0,1,4,0,1,0,0.000000
1270,1,0,0,0.0,0.0,0.0,1,2,0,1,0,0.000000
1271,5,3,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1272,5,3,0,0.5,0.0,0.5,0,4,0,4,0,0.000000
1273,6,4,1,0.5,0.0,0.5,2,4,0,2,0,0.000000
1274,4,3,0,1.0,0.0,1.0,2,4,0,2,0,0.000000
1275,4,2,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1276,3,0,0,0.5,0.0,0.5,1,2,0,1,0,0.000000
1277,4,2,0,0.5,0.0,0.5,0,4,0,4,0,0.000000
1278,6,4,1,0.5,0.0,0.5,0,4,0,4,1,0.471679
1279,5,3,0,1.0,0.0,1.0,0,4,0,4,0,0.000000
1280,5,3,0,0.5,0.0,0.5,0,4,0,4,0,0.000000
1281,6,4,1,1.0,0.0,1.0,1,4,0,1,0,0.000000
1282,4,2,0,0.5,0.0,0.5,2,4,0,2,0,0.000000
1283,3,2,0,1.0,0.0,1.0,2,4,0,2,0,0.000000
1284,4,2,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1285,4,2,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1286,5,3,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1287,6,4,1,0.5,0.0,0.5,1,4,0,1,0,0.000000
1288,4,2,0,1.0,0.0,1.0,0,4,0,4,0,0.000000
1289,2,0,0,1.0,0.0,1.0,1,2,0,1,0,0.000000
1290,5,3,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1291,6,4,1,0.5,0.0,0.5,1,4,0,1,0,0.000000
1292,6,4,1,0.5,0.0,0.5,2,4,0,2,0,0.000000
1293,3,0,0,1.0,0.0,1.0,1,2,0,1,0,0.000000
1294,5,3,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
1295,4,2,0,0.5,0.0,0.5,2,4,0,2,0,0.000000
1296,4,2,0,1.0,0.0,1.0,2,4,0,2,0,0.000000
1297,5,3,0,0.5,0.0,0.5,1,4,0,1,0,0.000000
1298,4,2,0,1.0,0.0,1.0,1,4,0,1,0,0.000000
