label,structure,max_phi
W1_S2_C1,triadic,0.830075
W1_S4_C1,triadic,0.830075
W1_S11_C1,triadic,0.830075
W1_S13_C1,triadic,0.830075
W2_S2_C2,triadic,0.830075
W2_S4_C2,triadic,0.830075
W2_S11_C2,triadic,0.830075
W2_S13_C2,triadic,0.830075
