form,n,p,phi_mip,phi_hat,drop_fraction
conjunctive,3,0.15,0.906899734,0.453449867,0.546550133
conjunctive,3,0.16,0.857769375,0.428884687,0.571115313
conjunctive,3,0.17,0.810767687,0.405383843,0.594616157
conjunctive,3,0.18,0.765789054,0.382894527,0.617105473
conjunctive,3,0.19,0.72273456,0.36136728,0.63863272
conjunctive,3,0.2,0.681511473,0.340755737,0.659244263
conjunctive,3,0.21,0.642032793,0.321016397,0.678983603
conjunctive,3,0.22,0.604216826,0.302108413,0.697891587
conjunctive,3,0.23,0.567986799,0.283993399,0.716006601
conjunctive,3,0.24,0.533270508,0.266635254,0.733364746
conjunctive,3,0.25,0.5,0.25,0.75
conjunctive,3,0.26,0.46811127,0.234055635,0.765944365
conjunctive,3,0.27,0.437543996,0.218771998,0.781228002
conjunctive,3,0.28,0.408241284,0.204120642,0.795879358
conjunctive,3,0.29,0.380149445,0.190074723,0.809925277
conjunctive,3,0.3,0.353217778,0.176608889,0.823391111
conjunctive,3,0.31,0.327398379,0.163699189,0.836300811
conjunctive,3,0.32,0.302645957,0.151322978,0.848677022
conjunctive,3,0.33,0.278917674,0.139458837,0.860541163
conjunctive,3,0.34,0.256172988,0.128086494,0.871913506
conjunctive,3,0.35,0.234373512,0.117186756,0.882813244
conjunctive,3,0.36,0.213482882,0.106741441,0.893258559
conjunctive,3,0.37,0.193466638,0.096733319,0.903266681
conjunctive,3,0.38,0.174292107,0.087146054,0.912853946
conjunctive,3,0.39,0.155928305,0.077964153,0.922035847
conjunctive,3,0.4,0.138345833,0.069172917,0.930827083
conjunctive,3,0.41,0.121516792,0.060758396,0.939241604
conjunctive,3,0.42,0.105414697,0.052707349,0.947292651
conjunctive,3,0.43,0.090014401,0.0450072,0.9549928
conjunctive,3,0.44,0.075292021,0.03764601,0.96235399
conjunctive,3,0.45,0.061224873,0.030612436,0.969387564
conjunctive,3,0.46,0.047791407,0.023895703,0.976104297
conjunctive,3,0.47,0.034971152,0.017485576,0.982514424
conjunctive,3,0.48,0.02274466,0.01137233,0.98862767
conjunctive,3,0.49,0.011093459,0.005546729,0.994453271
conjunctive,3,0.5,0.0,0.0,1.0
conjunctive,4,0.0,3.0,1.0,0.0
