family,name,omit,cycles,recip,t_targets,z_targets,structure,whole_phi_mip,core,core_phi,n_core
grain,"cyc(2,)_r1_tt(1,)_zt(2, 2, 3)_0",4|4|4|0|2|0,"(2,)",1,"(1,)","(2, 2, 3)",triadic,2.000000,N1|N2|N3|N5,12.000000,4
grain,"cyc(2,)_r1_tt(1,)_zt(2, 2, 3)_1",5|4|1|5|1|1,"(2,)",1,"(1,)","(2, 2, 3)",triadic,2.000000,N0|N2|N3|N4,12.000000,4
grain,"cyc(2,)_r1_tt(2,)_zt(1, 2, 3)_0",1|3|3|1|1|0,"(2,)",1,"(2,)","(1, 2, 3)",triadic,2.000000,N3|N4|N5,6.000000,3
grain,"cyc(2,)_r1_tt(2,)_zt(1, 2, 3)_1",2|5|5|4|5|2,"(2,)",1,"(2,)","(1, 2, 3)",triadic,2.000000,N0|N3|N5,6.000000,3
grain,"cyc(2,)_r1_tt(2,)_zt(1, 2, 3)_2",4|4|4|0|0|1,"(2,)",1,"(2,)","(1, 2, 3)",triadic,2.000000,N3|N4|N5,6.000000,3
grain,"cyc(2,)_r1_tt(2,)_zt(1, 3, 3)_0",1|3|3|1|1|2,"(2,)",1,"(2,)","(1, 3, 3)",triadic,2.000000,N0|N3|N4|N5,12.000000,4
grain,"cyc(2,)_r1_tt(2,)_zt(1, 3, 3)_1",3|3|3|1|1|4,"(2,)",1,"(2,)","(1, 3, 3)",triadic,2.000000,N0|N1|N2|N5,12.000000,4
grain,"cyc(2,)_r1_tt(2,)_zt(3, 3, 3)_0",3|4|3|1|1|3,"(2,)",1,"(2,)","(3, 3, 3)",triadic,2.000000,N0|N2|N4|N5,12.000000,4
grain,"cyc(2,)_r1_tt(2,)_zt(3, 3, 3)_1",5|4|5|5|1|4,"(2,)",1,"(2,)","(3, 3, 3)",triadic,2.000000,N0|N2|N3|N4,12.000000,4
grain,"cyc(3,)_r0_tt(1,)_zt(2, 3, 3)_0",1|4|4|4|5|1,"(3,)",0,"(1,)","(2, 3, 3)",triadic,2.000000,N0|N2|N3|N5,12.000000,4
grain,"cyc(3,)_r0_tt(1,)_zt(2, 3, 3)_1",3|3|0|5|3|0,"(3,)",0,"(1,)","(2, 3, 3)",triadic,2.000000,N1|N2|N4|N5,12.000000,4
grain,"cyc(3,)_r0_tt(2,)_zt(2, 3, 3)_0",1|2|0|0|0|1,"(3,)",0,"(2,)","(2, 3, 3)",triadic,2.000000,N2|N3|N4|N5,12.000000,4
grain,"cyc(3,)_r0_tt(2,)_zt(2, 3, 3)_1",2|2|5|5|2|1,"(3,)",0,"(2,)","(2, 3, 3)",triadic,2.000000,N0|N1|N3|N4,12.000000,4
